Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Prairie Warbler	Setophaga discolor		Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	NA	NA	NA		1885		1950		1	Animalia	Mollusca	Gastropoda						No 				NA										
																																	F= 1256	C= 1369							
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Euarthropoda	Insecta	Coleoptera	Polyphaga	Scarabeidae	NA	NA	Yes			NA	NA	NA	0.0714	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Euarthropoda	Insecta	Coleoptera			NA	NA	Yes	109216	Verified	NA	NA	NA	0.2686	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Arthropoda	Insecta	Diptera	Brachycera	Empididae	NA	NA	Yes	135830	Verified	NA	NA	NA	0.0247	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Arthropoda	insecta	Diptera	Brachycera	Rhagionidae	NA	NA	Yes	130742	Verified	NA	NA	NA	0.0475	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Arthropoda	Insecta	Diptera	Brachycera	Syrphidae	NA	NA	Yes	139621	Unverified	NA	NA	NA	0.0247	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Arthropoda	Insecta	Diptera	Brachycera	Tipulidae	NA	NA	Yes	118840	Unverified	NA	NA	NA	0.0247	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Arthropoda	Insecta	Diptera			NA	NA	No	118831	Verified	NA	NA	NA	0.0684	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	-102.0631147	38.042657	NA	2900	NA	Colorado	San Isabel National Forest	forest	NA	1965	NA	1966	Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Auchenorrhyncha	Cicadellidae	NA	NA	Yes	109171	Verified	NA	NA	NA	0.03	Wt_or_Vol	35	14	1	Stomach Contents		RLC	"Beaver, D.L. and P.H. Baldwin. 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13."
