Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Yellow-billed cuckoo	Coccyzus americanus	Cuculidae	"AOU 7th ed., 52nd supplement"	NA	NA	NA	NA	NA	Multiple	Multiple		5	1897	10	1897	Summer	Animalia	Arthropoda	Insecta	Coleoptera						verified				NA	NA	NA	0.06	NA	109	999	stomach contents	"Study performed in 20 states, district of columbia and canada. Study date assumed to be 1 year prior to publication."		"Beal, F. E. L. 1898. Cuckoos and shrikes and their relation to agriculture. U.S. Dep. Agric. Biol. Surv. Bull. no. 9."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Buprestidae				verified			Metallic Wood Boring Beetles	NA	0.014			336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Cerambycidae								NA	0.006			336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Chrysomelidae								NA	0.006			336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Cleridae								NA	NA			336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Curculionidae								NA	0.014			336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeidae								NA	0.04			336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scolytidae								NA	0.016			336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera					yes					NA			0.066	336	69	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Calliphoridae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Empididae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Muscidae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Rhagionidae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Sarcophagidae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Syrphidae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Tabanidae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Therevidae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Tipulidae								NA				96	23	3	stomach contents		RQ	
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	American Ornithologists' Union 7th edition (incl. 54th suppl.	-105.1037877	38.0404934		2900		Colorado	San Isabel National Forest	Deciduous Forest; coniferous forest		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera					yes					NA				96	23	3	stomach contents		RQ	
