Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source	
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Coleoptera					no	109216	verified		NA		0.3	Items	30	9	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta						yes	99208	verified		NA	small winged insect	0.033	Items	30	9	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Hymenoptera	Apocrita	Formicidae			no	154193	verified		NA		0.033	Items	30	9	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Lepidoptera					no	117232	verified	larva	NA		0.633	Items	30	9	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Coleoptera					no	109216	verified		NA		0.4444444	Occurrence	30	9	1	stomach contents		JK	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta						yes	99208	verified		NA	small winged insect	0.1111111	Occurrence	30	9	1	stomach contents		JK	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Hymenoptera	Apocrita	Formicidae			no	154193	verified		NA		0.1111111	Occurrence	30	9	1	stomach contents		JK	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Lepidoptera					no	117232	verified	larva	NA		0.5555556	Occurrence	30	9	1	stomach contents		JK	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta						no	118840	verified		NA		0.267	Items	15	3	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Diptera					yes	118831	verified		NA		0.067	Items	15	3	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Hymenoptera	Apocrita	Formicidae			no	154193	verified		NA		0.267	Items	15	3	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
Blackburnian Warbler	Setophaga fusca	NA	Parulidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Wisconsin	Berlin	forest	5	1874	5	1874	spring	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera				no	103358	verified		NA		0.067	Items	15	3	1	stomach contents		AHH	"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."
