Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source		
Bald Eagle	Haliaeetus leucocephalus		Accipitridae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Mexico	Sonora	scrubland	NA	1987	NA	1989	NA	Animalia	Chordata	Actinopterygii	Siluriformes		Ictaluridae	Ictalurus		yes	verified	adult		Catfish	0.178	Wt_or_Vol	118	NA	1	prey remains	"habitat classified as Subtropical Sinaloan thornscrub; samples taken from 3 nests from nest bowls or under nests during/after nesting season; percentage mass is biomass, determined by average biomass for the prey species; "	CS	"Brown, B. T., W. C. Leibfried, T. R. Huels, and J. A. Olivera. 1991. Prey remains from Bald Eagle nests in Sonora, Mexico. Southwest Nat. 36:259-262."		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer	Animalia			Coleoptera		Scarabaedae			yes	verified	adult			0.0714	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer	Animalia			Coleoptera					No		adult			0.2686	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Empididae			Yes	verified	adult			0.0247	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer	Animalia			Diptera		Rhagionidae			yes	verified	adult			0.0475	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Syrphidae			yes	verified	adult			0.0247	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera		Tipulidae			yes	verified	adult			0.0247	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Diptera					No		adult			0.0684	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Homoptera		Cicadellidae			yes	verified	adult			0.03	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		stamoch contents+AJ3:AO3
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Hymenoptera		Braconidae			yes	verified	adult			0.03	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Lepidoptera		Geometridae			yes	verified	adult			0.0261	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Lepidoptera		Tortricidae			yes	verified	adult			0.2639	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Hammond's Flycatcher	Empidonax hammondii		Tyrannidae	eBird Clements Checklist v2018	38.0618742	-105.1097582	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Araneida					no		adult			0.05	Wt_or_Vol		35	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Colcoptera		Buprestidae			yes	verified	adult			0.0128	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
Western Wood-Pewee	Contopus sordidulus		Tyrannidae		eBird Clements Checklist v2018	-105.11	NA	2900m	NA	Southern Colorado		San Isabel National Forest	NA	1965	NA	1966	Summer				Colcoptera		Cerambycidae			yes	verified	adult			0.0064	Wt_or_Vol		334	3 habitats (6 st+AJ3:AO3ations) 	stomach samples		HL	"Beaver, D.L., P.H. Baldwin. 1975. Ecological Overlap anf The Problem of Competition and Sympatry in The Western and Hammond's Flycatchers"		
