Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Yellow-billed cuckoo	Coccyzus americanus	Cuculidae	"AOU 7th ed., 52nd supplement"	NA	NA	NA	NA	NA	Multiple	Multiple		5	1897	10	1897	Summer	Animalia	Arthropoda	Insecta	Coleoptera						verified				NA	NA	NA	0.06	NA	109	999	stomach contents	"Study performed in 20 states, district of columbia and canada. Study date assumed to be 1 year prior to publication."	YP	"Beal, F. E. L. 1898. Cuckoos and shrikes and their relation to agriculture. U.S. Dep. Agric. Biol. Surv. Bull. no. 9."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Buprestidae				verified				NA	NA	0.0128	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Cerambycidae				verified				NA	NA	0.0064	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Chrysomelidae				verified				NA	NA	0.0064	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Curculionidae				verified				NA	NA	0.0128	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeidae				unverified				NA	NA	0.04	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scolytidae				verified				NA	NA	0.016	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera					Yes					NA	NA	0.0656	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Calliphoridae				verified				NA	NA	0.0096	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Empididae				verified				NA	NA	0.0032	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Muscidae				verified				NA	NA	0.0128	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Rhagionidae				verified				NA	NA	0.0192	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Sarcophagidae				verified				NA	NA	0.0032	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Syrphidae				verified				NA	NA	0.0096	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Tabanidae				verified				NA	NA	0.0192	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Therevidae				verified				NA	NA	0.0032	NA	5-8 mm		multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Diptera					Yes					NA	NA	0.24	NA			multiple	stomach contents		YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 54nd supplement"	T.23S.	R.69W.	NA	2900	NA	Colorado	Wet Mountains	Forest/mountain	NA	1965	NA	1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		Rhopalidae				verified				NA	NA	0.0032	NA			multiple	stomach contents	Family name changed from Corizida to Rhopalidae	YP	Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
