Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Lagomorpha	NA	Leporidae	NA	Sylvilagus nuttallii	no	NA	NA	NA	NA	Mountain cottontail	0.085	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Lagomorpha	NA	Leporidae	NA	Lepus californicus	no	NA	NA	NA	NA	Black-tailed jackrabbit	0.036	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Geomyidae	NA	Thomomys talpoides	no	NA	NA	NA	NA	Northern pocket gopher	0.023	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Heteromyidae	NA	Perognathus parvus	no	NA	NA	NA	NA	Great Basin pocket mouse	0.04	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Heteromyidae	NA	Dipodomys ordii	no	NA	NA	NA	NA	Ord's kangaroo rat	0.3	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Reithrodontomys megalotis	no	NA	NA	NA	NA	Western harvest mouse	0.025	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Peromyscus maniculatus	no	NA	NA	NA	NA	Deer mouse	0.254	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Microtus montanus	no	NA	NA	NA	NA	Mountain vole	0.212	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Mammalia	Rodentia	NA	Cricetidae	NA	Lagurus curtatus	no	NA	NA	NA	NA	Sagebrush vole	0.005	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Aves	Columbiformes	NA	Columbidae	NA	Zenaida macroura	no	NA	NA	NA	NA	Mourning dove	0.012	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Aves	Passeriformes	NA	Corvidae	NA	Pica pica	no	NA	NA	NA	NA	Black-billed magpie	0.004	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	NA	yes	NA	NA	NA	NA	NA	0.001	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Arthropoda	Insecta	Orthoptera	NA	Gryllacrididae	NA	NA	no	NA	NA	NA	NA	Camel crickets	0.001	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
Long-eared Owl	Asio otus	NA	Strigidae	eBird Clements Checklist v2018	NA	NA	NA	NA	NA	Idaho	Raft River Valley	desert	4	1978	5	1979	spring	Animalia	Arthropoda	Insecta	Coleoptera	NA	Tenebrionidae	NA	NA	no	NA	NA	NA	NA	Darkling beetles	0.0005	Wt_or_Vol	1000	NA	31	pellet contents	NA	DR	"Thurow, T. L. and C. M. White. 1984. Nesting success and prey selection of Long-eared Owls along a juniper/sagebrush ecotone in southcentral Idaho. Murrelet 65:10-14."
