source taxon name	name changed to	taxon id	notes	original source
Allorhina nitida	Cotinis nitida	ITIS:929437	reclassification	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Amblytelinae	Carabidae		source taxon name was of type tribe and reclassified as carabidae in coleoptera 	"Rathbun, S. F. 1925. The Black Swift and its habits. Auk 42:497-516."
Anomaea laticlavia	Anomoea laticlavia	ITIS:721283		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Atherestes stomias	Ateresthes stomias	ITIS:172862	misspelled in publication	"Retfalvi, L. 1970. Food of nesting Bald Eagles on San Juan Islan, Washington. Condor 72:358-361."
Balanosphyra formicivora	Melanerpes formicivorus	ITIS:178189	renamed	"Fitch, H. S. 1947. Predation by owls in the Sierran foothills of California. Condor 49:137-151."
Bembex fasciata	Stizus fasciatus	GBIF:4494615		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Carphophilus hemipterus	Carpophilus hemipterus	ITIS:114296		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Cedionychis miniata	Oedionychus miniatus			"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Cedionychis miniata	Kuschelina miniata	ITIS:720757	misspelling of Oedionychis miniata which has also been reclassified as Kuschelina miniata	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Centronopus calcaratus	N/A (Order: Coleoptera; Common name: darkling beetle)		no reliable confirmation of acceptance of one scientific name	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Cremastogaster pennsylvanica	Ponera pennsylvanica	ITIS:583962	misspelling in publication and also reclassified	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Crymodes discicollis	Lecontia discicollis	ITIS:708341	reclassified	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Cryptopleurus vagans	Cryptopleurum vagans	ITIS:193675		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Cyclorrhynchus psittacula	Aethia psittacula	ITIS:554029	reclassified	"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. The Condor. 42:198-202."
Cylorrhynchus psittacula	Aethia psittacula 		reclassified	"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. The Condor. 42:198-202."
Cyprinus cypio	Cyprinus carpio	ITIS:163344	misspelled in publication	"Cline and Clark. 1981. Chesapeake Bay Bald Eagle BandingProject,1981 report and five year summary. National Wildlife Federation Raptor Information Center. "
Dipdomys compactus	Dipodomys compactus	ITIS:180235	misspelled in publication	"Proudfoot, G. A. and S. L. Beasom. 1997. Food habits of nesting Ferruginous Pygmy-Owls in southern Texas. Wilson Bull. 109:741-748."
Dolopius lateralis	Dalopius marginatus	GBIF:4428376	misspelled genus in publication; renamed	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Euthoctha galeator	Euthochtha galeator	ITIS:108325	misspelled in publication	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Hygrotrechus sp	Gerridae		source taxon name is obsolete and currently accepted classification is unclear past the family Gerridae	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Leucarctia aeraea	Estigmene acrea	ITIS:117299	misspelled in publication and renamed	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Megilla maculata	Coleomegilla maculata			"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Metapodius femoratus	Acanthocephala femorata	ITIS:717444	renamed and misspelled in the database entry	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Nepholodes violans	Nephelodes violans	GBIF:11367150	misspelled in publication; possibly a synonym for Nephelodes minians	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Onychylus	Onychylis		misspelled in publication	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Orohelix strigosa	Oreohelix strigosa	ITIS:77693	renamed	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Orthopterus scutellaris	Orthoperus scutellaris	ITIS:717268	misspelled in publication	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Plagyodus	Alepisaurus	ITIS:162524	renamed and misspelled	"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. The Condor. 42:198-202."
Prunus sp	Prunus avium	ITIS:24770	"specific epithet not listed but common name given as ""domestic cherry"", inferred to be Prunus avium."	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Pupoides fallax	Pupoides albilabris	ITIS:76808	renamed	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Rhinoneus pyrrhopus	Campylirhynchus pyrrhopus	ITIS:617255		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Romaleum	Enaphalodes	ITIS:701838	renamed and misspelled in publication	"Fitch, H. S. 1947. Predation by owls in the Sierran foothills of California. Condor 49:137-151."
Scarabidae	Scarabaeidae	ITIS:114493	"renamed, unsure"	multiple
Scolytus 4-spinosus	Scolytus quadrispinosus	ITIS:114950		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Scorpaenichtys marmoratus	Scorpaenichthys marmoratus	ITIS:692068	misspelled in publication	"Retfalvi, L. 1970. Food of nesting Bald Eagles on San Juan Islan, Washington. Condor 72:358-361."
Scotobates calcaratus	Centronopus calcaratus	GBIF:4725698	reclassification	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Staphylinnus vulpinus	Staphylinus vulpinus		"misspelled, no credible sources for name found"	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
Symphorocarpos racemosa	Symphoricarpos albus	ITIS:35332	renamed and misspelled	"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."
