"TAXON_ORDER","PRIMARY_COM_NAME","SCI_NAME","Family"
1,"Common Ostrich","Struthio camelus","Struthionidae"
6,"Somali Ostrich","Struthio molybdophanes","Struthionidae"
8,"Greater Rhea","Rhea americana","Rheidae"
14,"Lesser Rhea","Rhea pennata","Rheidae"
19,"Tawny-breasted Tinamou","Nothocercus julius","Tinamidae"
20,"Highland Tinamou","Nothocercus bonapartei","Tinamidae"
27,"Hooded Tinamou","Nothocercus nigrocapillus","Tinamidae"
30,"Gray Tinamou","Tinamus tao","Tinamidae"
35,"Solitary Tinamou","Tinamus solitarius","Tinamidae"
36,"Black Tinamou","Tinamus osgoodi","Tinamidae"
39,"Great Tinamou","Tinamus major","Tinamidae"
52,"White-throated Tinamou","Tinamus guttatus","Tinamidae"
54,"Cinereous Tinamou","Crypturellus cinereus","Tinamidae"
55,"Berlepsch's Tinamou","Crypturellus berlepschi","Tinamidae"
56,"Little Tinamou","Crypturellus soui","Tinamidae"
71,"Tepui Tinamou","Crypturellus ptaritepui","Tinamidae"
72,"Brown Tinamou","Crypturellus obsoletus","Tinamidae"
83,"Undulated Tinamou","Crypturellus undulatus","Tinamidae"
90,"Pale-browed Tinamou","Crypturellus transfasciatus","Tinamidae"
91,"Brazilian Tinamou","Crypturellus strigulosus","Tinamidae"
92,"Gray-legged Tinamou","Crypturellus duidae","Tinamidae"
93,"Red-legged Tinamou","Crypturellus erythropus","Tinamidae"
101,"Yellow-legged Tinamou","Crypturellus noctivagus","Tinamidae"
104,"Black-capped Tinamou","Crypturellus atrocapillus","Tinamidae"
107,"Slaty-breasted Tinamou","Crypturellus boucardi","Tinamidae"
110,"Choco Tinamou","Crypturellus kerriae","Tinamidae"
111,"Variegated Tinamou","Crypturellus variegatus","Tinamidae"
112,"Thicket Tinamou","Crypturellus cinnamomeus","Tinamidae"
123,"Rusty Tinamou","Crypturellus brevirostris","Tinamidae"
124,"Bartlett's Tinamou","Crypturellus bartletti","Tinamidae"
125,"Small-billed Tinamou","Crypturellus parvirostris","Tinamidae"
126,"Barred Tinamou","Crypturellus casiquiare","Tinamidae"
127,"Tataupa Tinamou","Crypturellus tataupa","Tinamidae"
133,"Red-winged Tinamou","Rhynchotus rufescens","Tinamidae"
137,"Huayco Tinamou","Rhynchotus maculicollis","Tinamidae"
138,"Taczanowski's Tinamou","Nothoprocta taczanowskii","Tinamidae"
139,"Ornate Tinamou","Nothoprocta ornata","Tinamidae"
143,"Chilean Tinamou","Nothoprocta perdicaria","Tinamidae"
146,"Brushland Tinamou","Nothoprocta cinerascens","Tinamidae"
149,"Andean Tinamou","Nothoprocta pentlandii","Tinamidae"
157,"Curve-billed Tinamou","Nothoprocta curvirostris","Tinamidae"
161,"White-bellied Nothura","Nothura boraquira","Tinamidae"
162,"Lesser Nothura","Nothura minor","Tinamidae"
163,"Darwin's Nothura","Nothura darwinii","Tinamidae"
169,"Spotted Nothura","Nothura maculosa","Tinamidae"
179,"Dwarf Tinamou","Taoniscus nanus","Tinamidae"
180,"Elegant Crested-Tinamou","Eudromia elegans","Tinamidae"
191,"Quebracho Crested-Tinamou","Eudromia formosa","Tinamidae"
194,"Puna Tinamou","Tinamotis pentlandii","Tinamidae"
195,"Patagonian Tinamou","Tinamotis ingoufi","Tinamidae"
197,"Southern Cassowary","Casuarius casuarius","Casuariidae"
198,"Dwarf Cassowary","Casuarius bennetti","Casuariidae"
199,"Northern Cassowary","Casuarius unappendiculatus","Casuariidae"
200,"Emu","Dromaius novaehollandiae","Casuariidae"
205,"Southern Brown Kiwi","Apteryx australis","Apterygidae"
208,"Okarito Brown Kiwi","Apteryx rowi","Apterygidae"
209,"North Island Brown Kiwi","Apteryx mantelli","Apterygidae"
210,"Little Spotted Kiwi","Apteryx owenii","Apterygidae"
211,"Great Spotted Kiwi","Apteryx haastii","Apterygidae"
213,"Horned Screamer","Anhima cornuta","Anhimidae"
214,"Southern Screamer","Chauna torquata","Anhimidae"
215,"Northern Screamer","Chauna chavaria","Anhimidae"
216,"Magpie Goose","Anseranas semipalmata","Anseranatidae"
217,"Spotted Whistling-Duck","Dendrocygna guttata","Anatidae"
218,"Plumed Whistling-Duck","Dendrocygna eytoni","Anatidae"
219,"White-faced Whistling-Duck","Dendrocygna viduata","Anatidae"
221,"Black-bellied Whistling-Duck","Dendrocygna autumnalis","Anatidae"
224,"West Indian Whistling-Duck","Dendrocygna arborea","Anatidae"
226,"Fulvous Whistling-Duck","Dendrocygna bicolor","Anatidae"
229,"Wandering Whistling-Duck","Dendrocygna arcuata","Anatidae"
233,"Lesser Whistling-Duck","Dendrocygna javanica","Anatidae"
237,"White-backed Duck","Thalassornis leuconotus","Anatidae"
240,"Bar-headed Goose","Anser indicus","Anatidae"
241,"Emperor Goose","Anser canagicus","Anatidae"
242,"Snow Goose","Anser caerulescens","Anatidae"
245,"Ross's Goose","Anser rossii","Anatidae"
248,"Graylag Goose","Anser anser","Anatidae"
252,"Swan Goose","Anser cygnoides","Anatidae"
255,"Greater White-fronted Goose","Anser albifrons","Anatidae"
266,"Lesser White-fronted Goose","Anser erythropus","Anatidae"
268,"Taiga Bean-Goose","Anser fabalis","Anatidae"
272,"Tundra Bean-Goose","Anser serrirostris","Anatidae"
276,"Pink-footed Goose","Anser brachyrhynchus","Anatidae"
279,"Brant","Branta bernicla","Anatidae"
286,"Barnacle Goose","Branta leucopsis","Anatidae"
292,"Cackling Goose","Branta hutchinsii","Anatidae"
303,"Canada Goose","Branta canadensis","Anatidae"
326,"Hawaiian Goose","Branta sandvicensis","Anatidae"
327,"Red-breasted Goose","Branta ruficollis","Anatidae"
332,"Cape Barren Goose","Cereopsis novaehollandiae","Anatidae"
335,"Freckled Duck","Stictonetta naevosa","Anatidae"
336,"Blue-winged Goose","Cyanochen cyanoptera","Anatidae"
337,"Mute Swan","Cygnus olor","Anatidae"
339,"Black Swan","Cygnus atratus","Anatidae"
340,"Black-necked Swan","Cygnus melancoryphus","Anatidae"
341,"Trumpeter Swan","Cygnus buccinator","Anatidae"
343,"Tundra Swan","Cygnus columbianus","Anatidae"
349,"Whooper Swan","Cygnus cygnus","Anatidae"
353,"Coscoroba Swan","Coscoroba coscoroba","Anatidae"
354,"Knob-billed Duck","Sarkidiornis melanotos","Anatidae"
355,"Comb Duck","Sarkidiornis sylvicola","Anatidae"
356,"Hartlaub's Duck","Pteronetta hartlaubii","Anatidae"
357,"Orinoco Goose","Oressochen jubatus","Anatidae"
358,"Andean Goose","Oressochen melanopterus","Anatidae"
359,"Upland Goose","Chloephaga picta","Anatidae"
364,"Kelp Goose","Chloephaga hybrida","Anatidae"
367,"Ashy-headed Goose","Chloephaga poliocephala","Anatidae"
368,"Ruddy-headed Goose","Chloephaga rubidiceps","Anatidae"
370,"Radjah Shelduck","Radjah radjah","Anatidae"
373,"Egyptian Goose","Alopochen aegyptiaca","Anatidae"
374,"Mauritius Shelduck","Alopochen mauritiana","Anatidae"
375,"Reunion Shelduck","Alopochen kervazoi","Anatidae"
376,"Ruddy Shelduck","Tadorna ferruginea","Anatidae"
378,"South African Shelduck","Tadorna cana","Anatidae"
379,"Australian Shelduck","Tadorna tadornoides","Anatidae"
380,"Paradise Shelduck","Tadorna variegata","Anatidae"
381,"Common Shelduck","Tadorna tadorna","Anatidae"
383,"Crested Shelduck","Tadorna cristata","Anatidae"
384,"Spur-winged Goose","Plectropterus gambensis","Anatidae"
387,"Flying Steamer-Duck","Tachyeres patachonicus","Anatidae"
388,"Flightless Steamer-Duck","Tachyeres pteneres","Anatidae"
390,"Falkland Steamer-Duck","Tachyeres brachypterus","Anatidae"
391,"White-headed Steamer-Duck","Tachyeres leucocephalus","Anatidae"
393,"Crested Duck","Lophonetta specularioides","Anatidae"
396,"Spectacled Duck","Speculanas specularis","Anatidae"
397,"Muscovy Duck","Cairina moschata","Anatidae"
400,"Green Pygmy-Goose","Nettapus pulchellus","Anatidae"
401,"Cotton Pygmy-Goose","Nettapus coromandelianus","Anatidae"
404,"African Pygmy-Goose","Nettapus auritus","Anatidae"
405,"Ringed Teal","Callonetta leucophrys","Anatidae"
406,"Wood Duck","Aix sponsa","Anatidae"
408,"Mandarin Duck","Aix galericulata","Anatidae"
410,"Maned Duck","Chenonetta jubata","Anatidae"
411,"Finsch's Duck","Chenonetta finschi","Anatidae"
412,"Brazilian Teal","Amazonetta brasiliensis","Anatidae"
415,"Blue Duck","Hymenolaimus malacorhynchos","Anatidae"
416,"Torrent Duck","Merganetta armata","Anatidae"
423,"Salvadori's Teal","Salvadorina waigiuensis","Anatidae"
424,"Baikal Teal","Sibirionetta formosa","Anatidae"
425,"Garganey","Spatula querquedula","Anatidae"
426,"Blue-billed Teal","Spatula hottentota","Anatidae"
427,"Silver Teal","Spatula versicolor","Anatidae"
430,"Puna Teal","Spatula puna","Anatidae"
431,"Blue-winged Teal","Spatula discors","Anatidae"
432,"Cinnamon Teal","Spatula cyanoptera","Anatidae"
440,"Red Shoveler","Spatula platalea","Anatidae"
441,"Cape Shoveler","Spatula smithii","Anatidae"
442,"Australian Shoveler","Spatula rhynchotis","Anatidae"
443,"Northern Shoveler","Spatula clypeata","Anatidae"
447,"Gadwall","Mareca strepera","Anatidae"
451,"Falcated Duck","Mareca falcata","Anatidae"
454,"Eurasian Wigeon","Mareca penelope","Anatidae"
456,"American Wigeon","Mareca americana","Anatidae"
463,"Chiloe Wigeon","Mareca sibilatrix","Anatidae"
464,"Amsterdam Duck","Mareca marecula","Anatidae"
465,"African Black Duck","Anas sparsa","Anatidae"
468,"Yellow-billed Duck","Anas undulata","Anatidae"
471,"Meller's Duck","Anas melleri","Anatidae"
472,"Pacific Black Duck","Anas superciliosa","Anatidae"
475,"Laysan Duck","Anas laysanensis","Anatidae"
476,"Hawaiian Duck","Anas wyvilliana","Anatidae"
477,"Philippine Duck","Anas luzonica","Anatidae"
478,"Indian Spot-billed Duck","Anas poecilorhyncha","Anatidae"
481,"Eastern Spot-billed Duck","Anas zonorhyncha","Anatidae"
483,"Mallard","Anas platyrhynchos","Anatidae"
502,"Mexican Duck","Anas diazi","Anatidae"
505,"American Black Duck","Anas rubripes","Anatidae"
509,"Mottled Duck","Anas fulvigula","Anatidae"
518,"Cape Teal","Anas capensis","Anatidae"
519,"White-cheeked Pintail","Anas bahamensis","Anatidae"
525,"Red-billed Duck","Anas erythrorhyncha","Anatidae"
526,"Northern Pintail","Anas acuta","Anatidae"
533,"Eaton's Pintail","Anas eatoni","Anatidae"
536,"Yellow-billed Pintail","Anas georgica","Anatidae"
541,"Green-winged Teal","Anas crecca","Anatidae"
554,"Andean Teal","Anas andium","Anatidae"
557,"Yellow-billed Teal","Anas flavirostris","Anatidae"
562,"Mauritius Duck","Anas theodori","Anatidae"
563,"Andaman Teal","Anas albogularis","Anatidae"
564,"Sunda Teal","Anas gibberifrons","Anatidae"
565,"Gray Teal","Anas gracilis","Anatidae"
569,"Chestnut Teal","Anas castanea","Anatidae"
573,"Bernier's Teal","Anas bernieri","Anatidae"
574,"Auckland Islands Teal","Anas aucklandica","Anatidae"
575,"Campbell Islands Teal","Anas nesiotis","Anatidae"
576,"Brown Teal","Anas chlorotis","Anatidae"
581,"Pink-eared Duck","Malacorhynchus membranaceus","Anatidae"
582,"Marbled Teal","Marmaronetta angustirostris","Anatidae"
583,"Pink-headed Duck","Rhodonessa caryophyllacea","Anatidae"
584,"White-winged Duck","Asarcornis scutulata","Anatidae"
585,"Red-crested Pochard","Netta rufina","Anatidae"
587,"Southern Pochard","Netta erythrophthalma","Anatidae"
590,"Rosy-billed Pochard","Netta peposaca","Anatidae"
591,"Canvasback","Aythya valisineria","Anatidae"
592,"Redhead","Aythya americana","Anatidae"
595,"Common Pochard","Aythya ferina","Anatidae"
597,"Ring-necked Duck","Aythya collaris","Anatidae"
600,"Ferruginous Duck","Aythya nyroca","Anatidae"
603,"Madagascar Pochard","Aythya innotata","Anatidae"
604,"Baer's Pochard","Aythya baeri","Anatidae"
607,"Hardhead","Aythya australis","Anatidae"
609,"Tufted Duck","Aythya fuligula","Anatidae"
615,"New Zealand Scaup","Aythya novaeseelandiae","Anatidae"
616,"Greater Scaup","Aythya marila","Anatidae"
622,"Lesser Scaup","Aythya affinis","Anatidae"
632,"Steller's Eider","Polysticta stelleri","Anatidae"
633,"Spectacled Eider","Somateria fischeri","Anatidae"
634,"King Eider","Somateria spectabilis","Anatidae"
636,"Common Eider","Somateria mollissima","Anatidae"
647,"Harlequin Duck","Histrionicus histrionicus","Anatidae"
648,"Labrador Duck","Camptorhynchus labradorius","Anatidae"
649,"Surf Scoter","Melanitta perspicillata","Anatidae"
650,"Velvet Scoter","Melanitta fusca","Anatidae"
651,"White-winged Scoter","Melanitta deglandi","Anatidae"
652,"Stejneger's Scoter","Melanitta stejnegeri","Anatidae"
656,"Common Scoter","Melanitta nigra","Anatidae"
657,"Black Scoter","Melanitta americana","Anatidae"
661,"Long-tailed Duck","Clangula hyemalis","Anatidae"
662,"Bufflehead","Bucephala albeola","Anatidae"
663,"Common Goldeneye","Bucephala clangula","Anatidae"
668,"Barrow's Goldeneye","Bucephala islandica","Anatidae"
671,"Smew","Mergellus albellus","Anatidae"
673,"Hooded Merganser","Lophodytes cucullatus","Anatidae"
680,"Auckland Islands Merganser","Mergus australis","Anatidae"
681,"Common Merganser","Mergus merganser","Anatidae"
688,"Brazilian Merganser","Mergus octosetaceus","Anatidae"
689,"Red-breasted Merganser","Mergus serrator","Anatidae"
693,"Scaly-sided Merganser","Mergus squamatus","Anatidae"
695,"Black-headed Duck","Heteronetta atricapilla","Anatidae"
696,"Masked Duck","Nomonyx dominicus","Anatidae"
697,"Ruddy Duck","Oxyura jamaicensis","Anatidae"
698,"Andean Duck","Oxyura ferruginea","Anatidae"
702,"White-headed Duck","Oxyura leucocephala","Anatidae"
704,"Maccoa Duck","Oxyura maccoa","Anatidae"
705,"Lake Duck","Oxyura vittata","Anatidae"
707,"Blue-billed Duck","Oxyura australis","Anatidae"
708,"Musk Duck","Biziura lobata","Anatidae"
713,"Australian Brushturkey","Alectura lathami","Megapodiidae"
716,"Wattled Brushturkey","Aepypodius arfakianus","Megapodiidae"
719,"Waigeo Brushturkey","Aepypodius bruijnii","Megapodiidae"
720,"Red-billed Brushturkey","Talegalla cuvieri","Megapodiidae"
723,"Yellow-legged Brushturkey","Talegalla fuscirostris","Megapodiidae"
728,"Red-legged Brushturkey","Talegalla jobiensis","Megapodiidae"
732,"Malleefowl","Leipoa ocellata","Megapodiidae"
733,"Maleo","Macrocephalon maleo","Megapodiidae"
734,"Moluccan Scrubfowl","Eulipoa wallacei","Megapodiidae"
735,"Niuafoou Scrubfowl","Megapodius pritchardii","Megapodiidae"
736,"Micronesian Scrubfowl","Megapodius laperouse","Megapodiidae"
739,"Nicobar Scrubfowl","Megapodius nicobariensis","Megapodiidae"
742,"Tabon Scrubfowl","Megapodius cumingii","Megapodiidae"
750,"Sula Scrubfowl","Megapodius bernsteinii","Megapodiidae"
751,"Tanimbar Scrubfowl","Megapodius tenimberensis","Megapodiidae"
752,"Dusky Scrubfowl","Megapodius freycinet","Megapodiidae"
756,"Biak Scrubfowl","Megapodius geelvinkianus","Megapodiidae"
757,"Forsten's Scrubfowl","Megapodius forsteni","Megapodiidae"
760,"Melanesian Scrubfowl","Megapodius eremita","Megapodiidae"
761,"Vanuatu Scrubfowl","Megapodius layardi","Megapodiidae"
762,"New Guinea Scrubfowl","Megapodius decollatus","Megapodiidae"
763,"Orange-footed Scrubfowl","Megapodius reinwardt","Megapodiidae"
769,"Plain Chachalaca","Ortalis vetula","Cracidae"
774,"Gray-headed Chachalaca","Ortalis cinereiceps","Cracidae"
775,"Chestnut-winged Chachalaca","Ortalis garrula","Cracidae"
776,"Rufous-vented Chachalaca","Ortalis ruficauda","Cracidae"
779,"Rufous-headed Chachalaca","Ortalis erythroptera","Cracidae"
780,"Rufous-bellied Chachalaca","Ortalis wagleri","Cracidae"
781,"West Mexican Chachalaca","Ortalis poliocephala","Cracidae"
782,"Chaco Chachalaca","Ortalis canicollis","Cracidae"
785,"White-bellied Chachalaca","Ortalis leucogastra","Cracidae"
786,"Colombian Chachalaca","Ortalis columbiana","Cracidae"
787,"Speckled Chachalaca","Ortalis guttata","Cracidae"
792,"East Brazilian Chachalaca","Ortalis araucuan","Cracidae"
793,"Scaled Chachalaca","Ortalis squamata","Cracidae"
794,"Variable Chachalaca","Ortalis motmot","Cracidae"
795,"Chestnut-headed Chachalaca","Ortalis ruficeps","Cracidae"
796,"Buff-browed Chachalaca","Ortalis superciliaris","Cracidae"
798,"Band-tailed Guan","Penelope argyrotis","Cracidae"
802,"Bearded Guan","Penelope barbata","Cracidae"
803,"Baudo Guan","Penelope ortoni","Cracidae"
804,"Andean Guan","Penelope montagnii","Cracidae"
810,"Marail Guan","Penelope marail","Cracidae"
813,"Rusty-margined Guan","Penelope superciliaris","Cracidae"
817,"Red-faced Guan","Penelope dabbenei","Cracidae"
818,"Spix's Guan","Penelope jacquacu","Cracidae"
825,"Crested Guan","Penelope purpurascens","Cracidae"
829,"Cauca Guan","Penelope perspicax","Cracidae"
830,"White-winged Guan","Penelope albipennis","Cracidae"
831,"Dusky-legged Guan","Penelope obscura","Cracidae"
834,"Yungas Guan","Penelope bridgesi","Cracidae"
835,"White-crested Guan","Penelope pileata","Cracidae"
836,"Chestnut-bellied Guan","Penelope ochrogaster","Cracidae"
837,"White-browed Guan","Penelope jacucaca","Cracidae"
839,"Trinidad Piping-Guan","Pipile pipile","Cracidae"
840,"Blue-throated Piping-Guan","Pipile cumanensis","Cracidae"
843,"Red-throated Piping-Guan","Pipile cujubi","Cracidae"
847,"Black-fronted Piping-Guan","Pipile jacutinga","Cracidae"
848,"Wattled Guan","Aburria aburri","Cracidae"
849,"Black Guan","Chamaepetes unicolor","Cracidae"
850,"Sickle-winged Guan","Chamaepetes goudotii","Cracidae"
856,"Highland Guan","Penelopina nigra","Cracidae"
857,"Horned Guan","Oreophasis derbianus","Cracidae"
858,"Nocturnal Curassow","Nothocrax urumutum","Cracidae"
859,"Crestless Curassow","Mitu tomentosum","Cracidae"
860,"Salvin's Curassow","Mitu salvini","Cracidae"
861,"Razor-billed Curassow","Mitu tuberosum","Cracidae"
862,"Alagoas Curassow","Mitu mitu","Cracidae"
863,"Helmeted Curassow","Pauxi pauxi","Cracidae"
866,"Sira Curassow","Pauxi koepckeae","Cracidae"
867,"Horned Curassow","Pauxi unicornis","Cracidae"
868,"Great Curassow","Crax rubra","Cracidae"
871,"Blue-billed Curassow","Crax alberti","Cracidae"
872,"Yellow-knobbed Curassow","Crax daubentoni","Cracidae"
873,"Black Curassow","Crax alector","Cracidae"
876,"Wattled Curassow","Crax globulosa","Cracidae"
877,"Bare-faced Curassow","Crax fasciolata","Cracidae"
882,"Red-billed Curassow","Crax blumenbachii","Cracidae"
885,"Helmeted Guineafowl","Numida meleagris","Numididae"
898,"White-breasted Guineafowl","Agelastes meleagrides","Numididae"
899,"Black Guineafowl","Agelastes niger","Numididae"
900,"Vulturine Guineafowl","Acryllium vulturinum","Numididae"
901,"Plumed Guineafowl","Guttera plumifera","Numididae"
904,"Crested Guineafowl","Guttera pucherani","Numididae"
912,"Stone Partridge","Ptilopachus petrosus","Odontophoridae"
915,"Nahan's Francolin","Ptilopachus nahani","Odontophoridae"
916,"Tawny-faced Quail","Rhynchortyx cinctus","Odontophoridae"
920,"Mountain Quail","Oreortyx pictus","Odontophoridae"
921,"Buffy-crowned Wood-Partridge","Dendrortyx leucophrys","Odontophoridae"
924,"Long-tailed Wood-Partridge","Dendrortyx macroura","Odontophoridae"
931,"Bearded Wood-Partridge","Dendrortyx barbatus","Odontophoridae"
932,"Banded Quail","Philortyx fasciatus","Odontophoridae"
933,"Northern Bobwhite","Colinus virginianus","Odontophoridae"
959,"Black-throated Bobwhite","Colinus nigrogularis","Odontophoridae"
964,"Crested Bobwhite","Colinus cristatus","Odontophoridae"
987,"Scaled Quail","Callipepla squamata","Odontophoridae"
993,"Elegant Quail","Callipepla douglasii","Odontophoridae"
999,"California Quail","Callipepla californica","Odontophoridae"
1009,"Gambel's Quail","Callipepla gambelii","Odontophoridae"
1020,"Montezuma Quail","Cyrtonyx montezumae","Odontophoridae"
1028,"Ocellated Quail","Cyrtonyx ocellatus","Odontophoridae"
1029,"Singing Quail","Dactylortyx thoracicus","Odontophoridae"
1047,"Marbled Wood-Quail","Odontophorus gujanensis","Odontophoridae"
1056,"Spot-winged Wood-Quail","Odontophorus capueira","Odontophoridae"
1059,"Black-eared Wood-Quail","Odontophorus melanotis","Odontophoridae"
1062,"Black-fronted Wood-Quail","Odontophorus atrifrons","Odontophoridae"
1066,"Rufous-fronted Wood-Quail","Odontophorus erythrops","Odontophoridae"
1069,"Chestnut Wood-Quail","Odontophorus hyperythrus","Odontophoridae"
1070,"Dark-backed Wood-Quail","Odontophorus melanonotus","Odontophoridae"
1071,"Rufous-breasted Wood-Quail","Odontophorus speciosus","Odontophoridae"
1075,"Tacarcuna Wood-Quail","Odontophorus dialeucos","Odontophoridae"
1076,"Gorgeted Wood-Quail","Odontophorus strophium","Odontophoridae"
1077,"Venezuelan Wood-Quail","Odontophorus columbianus","Odontophoridae"
1078,"Black-breasted Wood-Quail","Odontophorus leucolaemus","Odontophoridae"
1079,"Stripe-faced Wood-Quail","Odontophorus balliviani","Odontophoridae"
1080,"Starred Wood-Quail","Odontophorus stellatus","Odontophoridae"
1081,"Spotted Wood-Quail","Odontophorus guttatus","Odontophoridae"
1084,"Udzungwa Partridge","Xenoperdix udzungwensis","Phasianidae"
1087,"Ferruginous Partridge","Caloperdix oculeus","Phasianidae"
1091,"Crested Partridge","Rollulus rouloul","Phasianidae"
1092,"Black Partridge","Melanoperdix niger","Phasianidae"
1095,"Hill Partridge","Arborophila torqueola","Phasianidae"
1100,"Sichuan Partridge","Arborophila rufipectus","Phasianidae"
1101,"Chestnut-breasted Partridge","Arborophila mandellii","Phasianidae"
1102,"White-necklaced Partridge","Arborophila gingica","Phasianidae"
1105,"Rufous-throated Partridge","Arborophila rufogularis","Phasianidae"
1112,"Red-billed Partridge","Arborophila rubrirostris","Phasianidae"
1113,"Chestnut-headed Partridge","Arborophila cambodiana","Phasianidae"
1118,"Hainan Partridge","Arborophila ardens","Phasianidae"
1119,"Taiwan Partridge","Arborophila crudigularis","Phasianidae"
1120,"White-cheeked Partridge","Arborophila atrogularis","Phasianidae"
1121,"Bar-backed Partridge","Arborophila brunneopectus","Phasianidae"
1125,"Orange-necked Partridge","Arborophila davidi","Phasianidae"
