TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
2,species,ostric2,,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,
7,species,ostric3,,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,
8,slash,y00934,,Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,
10,species,soucas1,,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
11,species,dwacas1,,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
12,species,norcas1,,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
13,species,emu1,,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
19,species,sobkiw1,,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,
20,issf,sobkiw2,,Southern Brown Kiwi (South I.),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,sobkiw1
21,issf,sobkiw3,,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis),Kiwis,sobkiw1
22,species,okbkiw1,,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),Kiwis,
23,species,nibkiw1,,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Kiwis,
24,species,liskiw1,,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,
25,hybrid,x01059,,Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,
26,species,grskiw1,,Great Spotted Kiwi,Apteryx maxima,Apterygiformes,Apterygidae (Kiwis),Kiwis,
27,spuh,kiwi1,,kiwi sp.,Apteryx sp.,Apterygiformes,Apterygidae (Kiwis),Kiwis,
29,species,grerhe1,,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,
35,species,lesrhe2,,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),Rheas,
36,issf,lesrhe4,,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas),Rheas,lesrhe2
39,issf,lesrhe3,,Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas),Rheas,lesrhe2
41,species,tabtin1,,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
42,species,higtin1,,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),Tinamous,
43,issf,higtin2,,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,higtin1
48,issf,higtin3,,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous),Tinamous,higtin1
49,species,hootin1,,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
52,species,grytin1,,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),Tinamous,
57,species,soltin1,,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
58,species,blatin1,,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
61,species,gretin1,,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),Tinamous,
74,species,whttin1,,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
75,spuh,tinamu1,,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
76,species,cintin1,,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
77,species,bertin1,,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
78,species,littin1,,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),Tinamous,
93,species,teptin1,,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),Tinamous,
94,species,brotin1,,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
95,issf,brntin1,,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
96,issf,brntin2,,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
105,species,undtin1,,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
112,species,pabtin1,,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
113,species,bratin1,,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
114,species,gyltin1,,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),Tinamous,
115,species,reltin1,,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
123,species,yeltin1,,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
124,issf,yeltin2,,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Tinamiformes,Tinamidae (Tinamous),Tinamous,yeltin1
125,issf,yeltin3,,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Tinamiformes,Tinamidae (Tinamous),Tinamous,yeltin1
126,species,blctin1,,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
129,species,slbtin1,,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
132,species,chotin1,,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),Tinamous,
133,species,vartin1,,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
134,species,thitin1,,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
135,issf,thitin2,,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous),Tinamous,thitin1
136,issf,thitin3,,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,thitin1
