"common_name","sci_name","code","family","order"
"Cooper's Hawk","Accipiter cooperii",1,"Accipitridae","Accipitriformes"
"Northern Goshawk","Accipiter gentilis",1,"Accipitridae","Accipitriformes"
"Sharp-shinned Hawk","Accipiter striatus",1,"Accipitridae","Accipitriformes"
"Golden Eagle","Aquila chrysaetos",1,"Accipitridae","Accipitriformes"
"Zone-tailed Hawk","Buteo albonotatus",2,"Accipitridae","Accipitriformes"
"Short-tailed Hawk","Buteo brachyurus",2,"Accipitridae","Accipitriformes"
"Red-tailed Hawk","Buteo jamaicensis",1,"Accipitridae","Accipitriformes"
"Rough-legged Hawk","Buteo lagopus",1,"Accipitridae","Accipitriformes"
"Red-shouldered Hawk","Buteo lineatus",1,"Accipitridae","Accipitriformes"
"Gray Hawk","Buteo plagiatus",2,"Accipitridae","Accipitriformes"
"Broad-winged Hawk","Buteo platypterus",1,"Accipitridae","Accipitriformes"
"Ferruginous Hawk","Buteo regalis",1,"Accipitridae","Accipitriformes"
"Hawaiian Hawk","Buteo solitarius",2,"Accipitridae","Accipitriformes"
"Swainson's Hawk","Buteo swainsoni",1,"Accipitridae","Accipitriformes"
"Common Black Hawk","Buteogallus anthracinus",2,"Accipitridae","Accipitriformes"
"Hook-billed Kite","Chondrohierax uncinatus",3,"Accipitridae","Accipitriformes"
"Northern Harrier","Circus hudsonius",1,"Accipitridae","Accipitriformes"
"Swallow-tailed Kite","Elanoides forficatus",1,"Accipitridae","Accipitriformes"
"White-tailed Kite","Elanus leucurus",1,"Accipitridae","Accipitriformes"
"White-tailed Hawk","Geranoaetus albicaudatus",2,"Accipitridae","Accipitriformes"
"Bald Eagle","Haliaeetus leucocephalus",1,"Accipitridae","Accipitriformes"
"Mississippi Kite","Ictinia mississippiensis",1,"Accipitridae","Accipitriformes"
"Harris's Hawk","Parabuteo unicinctus",1,"Accipitridae","Accipitriformes"
"Snail Kite","Rostrhamus sociabilis",2,"Accipitridae","Accipitriformes"
"Osprey","Pandion haliaetus",1,"Pandionidae","Accipitriformes"
"Wood Duck","Aix sponsa",1,"Anatidae","Anseriformes"
"Egyptian Goose","Alopochen aegyptiaca",2,"Anatidae","Anseriformes"
"Northern Pintail","Anas acuta",1,"Anatidae","Anseriformes"
