Keyname	Author	Date	Title	Journal	Vol:Pages	Class	Order	Family	Genus	species	Common Name	Region	Habitat	Observation	Food	Benthic Inverts	Comments	Occurrence
Dawson, 1923	*Dawson, W. L.	1923	The Birds of California			Aves	Limicolae	Phalaropodidae	_Phalaropus_	_fulicarius_	Red Phalarope, Sea Geese, Whale Birds, Bowhead Birds	Farallones	brackish pool	visual behavior	Arthropoda, Insecta, Crustacea?		Migration route	
Kumlien, 1879	*Kumlien, L.	1879	Contributions to the natural history of arctic America	United States National Museum Bulletin No. 15		Aves	Limicolae	Phalaropodidae	_Phalaropus_	_fulicarius_	Red Phalarope, Sea Geese, Whale Birds, Bowhead Birds			gut contents	Arthropoda, Crustacea, Copopoda, Laernodipodians, Amphipoda, _Caprella_ _phasma_, _Cyanus_ _ceti_	Bird obtained from an Eskimo.	Migration route	
Wetmore, 1925	*Wetmore, A. 	1925	Food of American Phalaropes, Avocets, and Stilts	United States Department of Agriculture Bulletin 	1359	Aves	Limicolae	Phalaropodidae	_Phalaropus_	_fulicarius_	Red Phalarope, Sea Geese, Whale Birds, Bowhead Birds	Pribilof Islands, New York, Maine,		gut contents	Arthropoda, Crustacea (33.5%), Insecta, Coleoptera (27.3%), Diptera (22.7%), Pisces (6.8%)(mostly sculpins)	36 stomachs collected from May to November, mainly in August	Migration route	
Ross, 1922	*Ross, R. C.	1922	Red Phalarope in Southern California	Condor	24:66-67	Aves	Limicolae	Phalaropodidae	_Phalaropus_	_fulicarius_	Red Phalarope, Sea Geese, Whale Birds, Bowhead Birds	CA	Beach	visual behavior	Arthropoda, Insecta, Diptera, Kelp Flies		Migration route	
Mannich, 1910	*Mannich, A. L. V.	1910	The Terrestrial Mammals and birds of North-east Greenland	Medelelser om Gronland	Bd. 45	Aves	Limicolae	Phalaropodidae	_Phalaropus_	_fulicarius_	Red Phalarope, Sea Geese, Whale Birds, Bowhead Birds	NE Greenland	land/ fresh water ponds	gut contents	Arthropoda, Insecta, gnat larvae, vegetation remnants	20 stomachs collected during breeding season	Migration route	
Bent, 1927	Bent, A. C.	1927	Life histories of North American shore birds: Part 1	United States National Museum Bulletin	142:15-28	Aves	Limicolae	Phalaropodidae	_Lobipes_	_lobatus_	Northern Phalarope, Red-necked Phalarope,	Aleutian Islands	sea surface, floating seaweed, near whales and fish schools, 	visual behavior		*from Dover publications, 1967 reprinting of USNM Bull. 146	Migration route	
Brewster, 1925	*Brewster, W.	1925	The Birds of the Lake Umbagog Region of Maine	Harvard Museum of Comparative Zoology	66(2)	Aves	Limicolae	Phalaropodidae	_Lobipes_	_lobatus_	Northern Phalarope, Red-necked Phalarope,	Maine, Umbagog Lake	fresh water lake	visual behavior	Arthropoda, Insecta, in flight		Migration route	
Mackay, 1894	Mackay, G. H.	1894	Notes on certain water birds in Massachusetts	Auk	11:223-228	Aves	Limicolae	Phalaropodidae	_Lobipes_	_lobatus_	Northern Phalarope, Red-necked Phalarope,	Swampscott	sea surface	visual behavior	? Arthropoda, ? Crustacea, red whale bait, brit (Krill?).		Migration route	
Wetmore, 1925	*Wetmore, A. 	1925	Food of American Phalaropes, Avocets, and Stilts	United States Department of Agriculture Bulletin	1359	Aves	Limicolae	Phalaropodidae	_Lobipes__lobatus_	Northern Phalarope, Red-necked Phalarope,	Alaska and lower United States		Stomach contents	Arthropoda, Insecta, Diptera, flies, mosquito larvae (32.8%), Hemiptera (31.8%) including water boatmen and backswimmers, Coleoptera (16.5%), Odonata, dragonfly nymphs, Crustacea (9.3%), Chelicerata, Arachnida, Araneae, spiders, Annelida, Polychaeta, Mollusca, Pisces, vegetation, seeds	155 stomachs collected from May to October	Migration route		
Wetmore, 1925	*Wetmore, A. 	1925	Food of American Phalaropes, Avocets, and Stilts	United States Department of Agriculture Bulletin 	1359	Aves	Limicolae	Phalaropodidae	_Steganopus_	_tricolor_	Wilson's Phalarope,			Stomach contents	Arthropoda, Insecta, Diptera, flies (43.1%), Hemiptera (24.4%), Coleoptera (20.1%), Crustacea, Branchiopoda, brine shrimp, water flea eggs, Amphipoda, vegetation, seeds of aquatic plants.	contents of 106 stomachs	Migration route	
