taxon,taxonomic_rank,commonName,Prey_Kingdom,Prey_Stage
Annelida,Prey_Phylum,annelids,Animalia,NA
Arthropoda,Prey_Phylum,arthropods,Animalia,NA
Ascomycota,Prey_Phylum,sac fungi,Fungi,NA
Basidiomycota,Prey_Phylum,basidiomycete fungi,Fungi,NA
Bryophyta,Prey_Phylum,mosses,Plantae,NA
Bryozoa,Prey_Phylum,bryozoans,Animalia,NA
Charophyta,Prey_Phylum,charophyte algae,Plantae,NA
Chlorophyta,Prey_Phylum,green algae,Plantae,NA
Chordata,Prey_Phylum,chordates,Animalia,NA
Ciliophora,Prey_Phylum,ciliates,Protozoa,NA
Cnidaria,Prey_Phylum,cnidarians,Animalia,NA
Echinodermata,Prey_Phylum,echinoderms,Animalia,NA
Mollusca,Prey_Phylum,molluscs,Animalia,NA
Nematoda,Prey_Phylum,nematodes,Animalia,NA
Nemertea,Prey_Phylum,ribbon worms,Animalia,NA
Phaeophyceae,Prey_Phylum,brown algae,Chromista,NA
Platyhelminthes,Prey_Phylum,flatworms,Animalia,NA
Porifera,Prey_Phylum,sponges,Animalia,NA
Protozoa,Prey_Phylum,protozoans,Protozoa,NA
Rhodophyta,Prey_Phylum,red algae,Plantae,NA
Tracheophyta,Prey_Phylum,vascular plants,Plantae,NA
Agaricomycetes,Prey_Class,agaricomycetes,Fungi,NA
Amphibia,Prey_Class,amphibians,Animalia,NA
Anthozoa,Prey_Class,sea anemones and corals,Animalia,NA
Arachnida,Prey_Class,arachnids,Animalia,NA
Asteroidea,Prey_Class,sea stars,Animalia,NA
Aves,Prey_Class,birds,Animalia,NA
Bivalvia,Prey_Class,bivalves,Animalia,NA
Branchiopoda,Prey_Class,branchiopods,Animalia,NA
Bryopsida,Prey_Class,true mosses,Plantae,NA
Cephalaspidomorphi,Prey_Class,lampreys,Animalia,NA
Cephalopoda,Prey_Class,cephalopods,Animalia,NA
Chilopoda,Prey_Class,centipedes,Animalia,NA
Chlorophyceae,Prey_Class,chlorophycean green algae,Plantae,NA
Clitellata,Prey_Class,clitellates,Animalia,NA
Collembola,Prey_Class,springtails,Animalia,NA
Demospongiae,Prey_Class,demosponges,Animalia,NA
Diplopoda,Prey_Class,millipedes,Animalia,NA
Echinoidea,Prey_Class,"sea urchins, sand dollars, and heart urchins",Animalia,NA
Gastropoda,Prey_Class,gastropods,Animalia,NA
Gnetopsida,Prey_Class,gnetophytes,Plantae,NA
Holothuroidea,Prey_Class,sea cucumbers,Animalia,NA
Hydrozoa,Prey_Class,hydrozoans,Animalia,NA
Insecta,Prey_Class,insects,Animalia,NA
Liliopsida,Prey_Class,monocots,Plantae,NA
Lycopodiopsida,Prey_Class,lycophytes,Plantae,NA
Magnoliopsida,Prey_Class,dicots,Plantae,NA
Malacostraca,Prey_Class,malacostracans,Animalia,NA
Mammalia,Prey_Class,mammals,Animalia,NA
Maxillopoda,Prey_Class,maxillopods,Animalia,NA
Ostracoda,Prey_Class,ostracods,Animalia,NA
Phaeophyceae,Prey_Class,brown algae,Chromista,NA
Phylactolaemata,Prey_Class,freshwater bryozoans,Animalia,NA
Pinopsida,Prey_Class,conifers,Plantae,NA
Polychaeta,Prey_Class,polychaete worms,Animalia,NA
Polyplacophora,Prey_Class,chitons,Animalia,NA
Polypodiopsida,Prey_Class,ferns,Plantae,NA
Reptilia,Prey_Class,reptiles,Animalia,NA
Scyphozoa,Prey_Class,true jellies,Animalia,NA
Teleostei,Prey_Class,teleost fishes,Animalia,NA
Thaliacea,Prey_Class,thaliaceans,Animalia,NA
Ulvophyceae,Prey_Class,sea lettuces and single-celled algae,Plantae,NA
Accipitriformes,Prey_Order,"hawks, eagles, kites, and allies",Animalia,NA
Acipenseriformes,Prey_Order,sturgeons and paddlefishes,Animalia,NA
Acorales,Prey_Order,sweet flag and allies,Plantae,NA
Actiniaria,Prey_Order,sea anemones,Animalia,NA
Agaricales,Prey_Order,gilled mushrooms,Fungi,NA
Alismatales,Prey_Order,water plantains and allies,Plantae,NA
Amiiformes,Prey_Order,bowfins,Animalia,NA
Amphipoda,Prey_Order,amphipods,Animalia,NA
Anguilliformes,Prey_Order,true eels,Animalia,NA
Anostraca,Prey_Order,fairy shrimp,Animalia,NA
Anseriformes,Prey_Order,waterfowl,Animalia,NA
Anura,Prey_Order,frogs and toads,Animalia,NA
Apiales,Prey_Order,"carrots, ivies, and allies",Plantae,NA
Aquifoliales,Prey_Order,hollies and allies,Plantae,NA
Araneae,Prey_Order,spiders,Animalia,NA
Archaeognatha,Prey_Order,bristletails,Animalia,NA
Architaenioglossa,Prey_Order,architaenioglossan snails,Animalia,NA
Arecales,Prey_Order,"palms, bullanocks, and allies",Plantae,NA
Artiodactyla,Prey_Order,even-toed ungulates,Animalia,NA
Asparagales,Prey_Order,"agaves, orchids, irises, and allies",Plantae,NA
Asterales,Prey_Order,"asters, bellflowers, fanflowers, and allies",Plantae,NA
Atheriniformes,Prey_Order,silversides,Animalia,NA
Aulopiformes,Prey_Order,"grinners, lizardfishes, and allies",Animalia,NA
Batrachoidiformes,Prey_Order,toadfishes,Animalia,NA
Beloniformes,Prey_Order,"needlefishes, halfbeaks, and allies",Animalia,NA
Beryciformes,Prey_Order,sawbellies,Animalia,NA
Blattodea,Prey_Order,cockroaches and termites,Animalia,NA
Brassicales,Prey_Order,"mustards, capers, and allies",Plantae,NA
Calanoida,Prey_Order,calanoid copepods,Animalia,NA
Caprimulgiformes,Prey_Order,"nightjars, swifts, hummingbirds, and allies",Animalia,NA
Carcharhiniformes,Prey_Order,ground sharks,Animalia,NA
Carnivora,Prey_Order,carnivorans,Animalia,NA
Caryophyllales,Prey_Order,"pinks, cactuses, and allies",Plantae,NA
Caudata,Prey_Order,salamanders,Animalia,NA
Celastrales,Prey_Order,staff-vines and allies,Plantae,NA
Cephalaspidea,Prey_Order,headshield slugs,Animalia,NA
Ceratophyllales,Prey_Order,coontails,Plantae,NA
Characiformes,Prey_Order,characins,Animalia,NA
Charadriiformes,Prey_Order,shorebirds and allies,Animalia,NA
Chiroptera,Prey_Order,bats,Animalia,NA
Ciconiiformes,Prey_Order,storks,Animalia,NA
Cingulata,Prey_Order,armadillos,Animalia,NA
Clupeiformes,Prey_Order,herrings,Animalia,NA
Clypeasteroida,Prey_Order,sand dollars,Animalia,NA
Coleoptera,Prey_Order,beetles,Animalia,NA
Collembola,Prey_Order,springtails,Animalia,NA
Columbiformes,Prey_Order,pigeons and doves,Animalia,NA
Commelinales,Prey_Order,spiderworts and allies,Plantae,NA
Coraciiformes,Prey_Order,kingfishers and allies,Animalia,NA
Cornales,Prey_Order,"dogwoods, hydrangeas, and allies",Plantae,NA
Cuculiformes,Prey_Order,cuckoos,Animalia,NA
Cyclopoida,Prey_Order,cyclopoid copepods,Animalia,NA
Cypriniformes,Prey_Order,"minnows, suckers, carps, and loaches",Animalia,NA
Cyprinodontiformes,Prey_Order,"rivulines, killifishes, and livebearers",Animalia,NA
Decapoda,Prey_Order,decapods,Animalia,NA
Dermaptera,Prey_Order,earwigs,Animalia,NA
Didelphimorphia,Prey_Order,opossums,Animalia,NA
Diplostraca,Prey_Order,clam shrimps and water fleas,Animalia,NA
Dipsacales,Prey_Order,"honeysuckles, moschatels, and allies",Plantae,NA
Diptera,Prey_Order,flies,Animalia,NA
Elopiformes,Prey_Order,tarpons and tenpounders,Animalia,NA
Ephedrales,Prey_Order,jointfirs,Plantae,NA
Ephemeroptera,Prey_Order,mayflies,Animalia,NA
Equisetales,Prey_Order,horsetails,Plantae,NA
Ericales,Prey_Order,"heathers, balsams, primroses, and allies",Plantae,NA
Euphausiacea,Prey_Order,krill,Animalia,NA
Fabales,Prey_Order,"legumes, milkworts, and allies",Plantae,NA
Fagales,Prey_Order,"beeches, oaks, walnuts, and allies",Plantae,NA
Falconiformes,Prey_Order,falcons and caracaras,Animalia,NA
Forcipulatida,Prey_Order,forcipulatidan sea stars,Animalia,NA
Gadiformes,Prey_Order,cods,Animalia,NA
Galliformes,Prey_Order,landfowl,Animalia,NA
Gasterosteiformes,Prey_Order,sticklebacks and seamoths,Animalia,NA
Gaviiformes,Prey_Order,loons,Animalia,NA
Gentianales,Prey_Order,"gentians, dogbanes, madders, and allies",Plantae,NA
Geraniales,Prey_Order,"geraniums, bridal wreaths, and allies",Plantae,NA
Gruiformes,Prey_Order,"cranes, rails, and allies",Animalia,NA
Hemiptera,Prey_Order,"true bugs, hoppers, aphids, and allies",Animalia,NA
Hymenoptera,Prey_Order,"ants, bees, wasps, and sawflies",Animalia,NA
Isoetales,Prey_Order,quillworts,Plantae,NA
Isopoda,Prey_Order,isopods,Animalia,NA
Ixodida,Prey_Order,ticks,Animalia,NA
Lagomorpha,Prey_Order,lagomorphs,Animalia,NA
Lamiales,Prey_Order,"mints, plantains, olives, and allies",Plantae,NA
Laurales,Prey_Order,"laurels, spicebushes, and allies",Plantae,NA
Lepidoptera,Prey_Order,butterflies and moths,Animalia,adult
Lepisosteiformes,Prey_Order,gars,Animalia,NA
Liliales,Prey_Order,"lilies, supplejacks, and allies",Plantae,NA
Lithobiomorpha,Prey_Order,stone centipedes,Animalia,NA
Littorinimorpha,Prey_Order,littorinimorph snails,Animalia,NA
Lophiiformes,Prey_Order,anglerfishes,Animalia,NA
Lycopodiales,Prey_Order,clubmosses and firmosses,Plantae,NA
Magnoliales,Prey_Order,"magnolias, nutmegs, and allies",Plantae,NA
Malpighiales,Prey_Order,"nances, willows, and allies",Plantae,NA
Malvales,Prey_Order,"mallows, rock-roses, and allies",Plantae,NA
Mantodea,Prey_Order,mantises,Animalia,NA
Mecoptera,Prey_Order,"scorpionflies, hangingflies, and allies",Animalia,NA
Megaloptera,Prey_Order,"alderflies, dobsonflies, and fishflies",Animalia,NA
