x	
"Aldous, S. E. 1942. The White-necked Raven in relation to agriculture. Res. Rep. 5. U.S. Fish Wildl. Serv."	
"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."	
"Arnell, W. B. 1971. Prey utilization by nesting Golden Eagles (Aquila chrysaetos) in central Utah. Master's Thesis. Brigham Young Univ. Provo, UT."	
"Artuso, Christian. 2010. The diet of the Eastern Screech-Owl, Megascops asio, at the northern periphery of its range. Canadian Field-Naturalist 124(2): 122?133."	
"Atkinson, E. C. and T. J. Cade. 1993. Winter foraging and diet of Northern Shrikes in Idaho. Condor 95:528-535."	
"Aughey, S. 1878. Notes on the nature of the food of the birds of Nebraska. Appendix. 2. First report of the United States entomological committee. Hayden survey of the territories."	
"Baldwin, P. H. and T. L. C. Casey. 1983. A preliminary list of foods of the Po'o-uli. 'Elepaio 43:53-56."	
"Bancroft, G. T. and R. Bowman. 1994. Temporal patterns in diet of nestling White-crowned Pigeons: implications for conservation of frugivorous Columbids. Auk 111:844-852."	
"Barrows, W. B. 1912. Michigan bird life. Special Bulletin of the Department of Zoology and Physiology, Michigan Agricultural College, East Lansing."	
"Basili, G. D. and S. A. Temple. 1999a. Winter ecology, behavior, and conservation needs of Dickcissels in Venezuela. Stud. Avian Biol. 19:289-299."	x
"Beal, F. 1915. Food of the robins and bluebirds of the United States. Bull. U.S.Dep. Agricul. 171:1-31."	
"Beal, F. E. L. 1898. Cuckoos and shrikes and their relation to agriculture. U.S. Dep. Agric. Biol. Surv. Bull. no. 9."	
"Beal, F. E. L. 1900. Food of the Bobolink, blackbirds, and grackles. U.S. Dep. Agric. Biol. Surv. Bull. 13:1-77."	
"Beal, F. E. L. 1907. Birds of California in relation to the fruit industry, Pt. 1. Biol. Surv. Bull. no. 30."	
"Beal, F. E. L. 1910. Birds of California in relation to fruit industry, Pt 2. U.S. Dept. Agricult. Biol. Surv. Bull. 34:1-96."	
"Beal, F. E. L. 1910. Birds of California in relation to fruit industry, Pt. 2. U.S. Dept. Agricult. Biol. Surv. Bull. 34:1-96."	
"Beal, F. E. L. 1910. Birds of California in relation to the fruit industry, Pt. II. U.S. Dep. Agric., Biol. Surv. Bull. 34:1-96."	
