Common_Name	Scientific_Name	Observation_Season	Fraction_Diet_Plant	Bird_Sample_Size
Brant	Branta bernicla	Winter	1	60
Brant	Branta bernicla	Spring	0.93	33
Brant	Branta bernicla	Summer	0.94	9
Mallard	Anas platyrhynchos	Winter	0.91	1666
Mallard	Anas platyrhynchos	Spring	0.82	26
Mallard	Anas platyrhynchos	Fall	0.93	123
American Black Duck	Anas rubripes	Winter	0.71	276
American Black Duck	Anas rubripes	Spring	0.82	13
American Black Duck	Anas rubripes	Summer	0.58	10
American Black Duck	Anas rubripes	Fall	0.86	124
Gadwall	Anas strepera	Winter	0.98	288
Gadwall	Anas strepera	Spring	0.8	5
Gadwall	Anas strepera	Summer	0.95	1
Gadwall	Anas strepera	Fall	0.97	83
American Wigeon	Anas americana	Winter	0.9	166
American Wigeon	Anas americana	Spring	0.94	22
American Wigeon	Anas americana	Summer	0.5	2
American Wigeon	Anas americana	Fall	1	79
Northern Pintail	Anas acuta	Winter	0.9	517
Northern Pintail	Anas acuta	Spring	0.35	1
Northern Pintail	Anas acuta	Summer	0.86	16
Northern Pintail	Anas acuta	Fall	0.95	253
Green-winged Teal	Anas crecca	Winter	0.91	304
Green-winged Teal	Anas crecca	Spring	0.86	30
Green-winged Teal	Anas crecca	Summer	1	4
Green-winged Teal	Anas crecca	Fall	0.86	260
Blue-winged Teal	Anas discors	Winter	0.81	56
Blue-winged Teal	Anas discors	Spring	0.54	47
Blue-winged Teal	Anas discors	Summer	0.7	16
Blue-winged Teal	Anas discors	Fall	0.7	177
Cinnamon Teal	Anas cyanoptera	Winter	0.98	2
Cinnamon Teal	Anas cyanoptera	Spring	0.68	7
Cinnamon Teal	Anas cyanoptera	Summer	0.78	19
Cinnamon Teal	Anas cyanoptera	Fall	0.89	31
Northern Shoveler	Anas clypeata	Winter	0.72	55
Northern Shoveler	Anas clypeata	Spring	0.76	8
Northern Shoveler	Anas clypeata	Summer	0.1	1
Northern Shoveler	Anas clypeata	Fall	0.7	38
Wood Duck	Aix sponsa	Winter	0.97	177
Wood Duck	Aix sponsa	Spring	0.73	20
Wood Duck	Aix sponsa	Summer	0.84	13
Wood Duck	Aix sponsa	Fall	0.93	222
Redhead	Aythya americana	Winter	0.89	131
Redhead	Aythya americana	Spring	0.94	27
Redhead	Aythya americana	Summer	0.79	19
Redhead	Aythya americana	Fall	0.93	78
Ring-necked Duck	Aythya collaris	Winter	0.94	172
Ring-necked Duck	Aythya collaris	Spring	0.72	22
Ring-necked Duck	Aythya collaris	Summer	0.53	9
Ring-necked Duck	Aythya collaris	Fall	0.75	32
Canvasback	Aythya valisineria	Winter	0.76	158
Canvasback	Aythya valisineria	Spring	0.88	21
Canvasback	Aythya valisineria	Summer	0.63	9
Canvasback	Aythya valisineria	Fall	0.97	56
Greater Scaup	Aythya marila	Winter	0.58	106
Greater Scaup	Aythya marila	Spring	0.35	29
Greater Scaup	Aythya marila	Summer	0	1
Greater Scaup	Aythya marila	Fall	0.78	35
Lesser Scaup	Aythya affinis	Winter	0.67	210
Lesser Scaup	Aythya affinis	Spring	0.53	79
Lesser Scaup	Aythya affinis	Summer	0.48	37
Lesser Scaup	Aythya affinis	Fall	0.78	81
Common Goldeneye	Bucephala clangula	Winter	0.23	186
Common Goldeneye	Bucephala clangula	Spring	0.11	11
Common Goldeneye	Bucephala clangula	Summer	0.34	34
Common Goldeneye	Bucephala clangula	Fall	0.23	10
Barrow's Goldeneye	Bucephala islandica	Winter	0.2	27
Barrow's Goldeneye	Bucephala islandica	Spring	0.22	8
Barrow's Goldeneye	Bucephala islandica	Summer	0.1	10
Barrow's Goldeneye	Bucephala islandica	Fall	0.08	15
Bufflehead	Bucephala albeola	Winter	0.25	153
Bufflehead	Bucephala albeola	Spring	0.19	27
Bufflehead	Bucephala albeola	Summer	0.13	19
Bufflehead	Bucephala albeola	Fall	0.24	30
White-winged Scoter	Melanitta fusca	Winter	0.04	128
White-winged Scoter	Melanitta fusca	Spring	0.07	37
White-winged Scoter	Melanitta fusca	Summer	0.02	11
White-winged Scoter	Melanitta fusca	Fall	0.16	36
Surf Scoter	Melanitta perspicillata	Winter	0.04	56
Surf Scoter	Melanitta perspicillata	Spring	0	7
Surf Scoter	Melanitta perspicillata	Summer	0.03	6
Surf Scoter	Melanitta perspicillata	Fall	0.23	44
Black Scoter	Melanitta americana	Winter	0.03	51
Black Scoter	Melanitta americana	Spring	0	16
Black Scoter	Melanitta americana	Summer	0	4
Black Scoter	Melanitta americana	Fall	0.21	20
Ruddy Duck	Oxyura jamaicensis	Winter	0.79	60
Ruddy Duck	Oxyura jamaicensis	Spring	0.67	21
Ruddy Duck	Oxyura jamaicensis	Summer	0.59	25
Ruddy Duck	Oxyura jamaicensis	Fall	0.73	51
American Coot	Fulica americana	Winter	0.98	411
American Coot	Fulica americana	Spring	0.84	82
American Coot	Fulica americana	Summer	0.56	36
American Coot	Fulica americana	Fall	0.97	247
Herring Gull	Larus argentatus	Winter	0.09	51
Herring Gull	Larus argentatus	Spring	0	13
Herring Gull	Larus argentatus	Summer	0.2	34
Herring Gull	Larus argentatus	Fall	0.03	30
Limpkin	Aramus guarauna	Winter	0.1	15
Limpkin	Aramus guarauna	Spring	0.07	22
Limpkin	Aramus guarauna	Summer	0.01	15
Limpkin	Aramus guarauna	Fall	0.11	49
Clapper Rail	Rallus crepitans	Winter	0.11	50
Clapper Rail	Rallus crepitans	Spring	0.01	28
Clapper Rail	Rallus crepitans	Summer	0	68
Clapper Rail	Rallus crepitans	Fall	0.03	114
Virginia Rail	Rallus limicola	Winter	0.21	4
Virginia Rail	Rallus limicola	Spring	0.12	23
Virginia Rail	Rallus limicola	Summer	0.03	20
Virginia Rail	Rallus limicola	Fall	0.32	69
Sora	Porzana carolina	Winter	0.68	15
Sora	Porzana carolina	Spring	0.4	73
Sora	Porzana carolina	Summer	0.4	36
Sora	Porzana carolina	Fall	0.69	208
Wilson's Snipe	Gallinago delicata	Winter	0.17	232
Wilson's Snipe	Gallinago delicata	Spring	0.22	97
Wilson's Snipe	Gallinago delicata	Summer	0.05	16
Wilson's Snipe	Gallinago delicata	Fall	0.19	435
Red Knot	Calidris canutus	Spring	0	59
Red Knot	Calidris canutus	Summer	0.06	87
Red Knot	Calidris canutus	Fall	0.24	67
Short-billed Dowitcher	Limnodromus griseus	Winter	0.01	13
Short-billed Dowitcher	Limnodromus griseus	Spring	0.1	34
Short-billed Dowitcher	Limnodromus griseus	Summer	0.2	124
Short-billed Dowitcher	Limnodromus griseus	Fall	0.03	3
Semipalmated Sandpiper	Calidris pusilla	Spring	0.02	30
Semipalmated Sandpiper	Calidris pusilla	Summer	0.02	193
Semipalmated Sandpiper	Calidris pusilla	Fall	0.08	177
American Avocet	Recurvirostra americana	Winter	0.45	2
American Avocet	Recurvirostra americana	Spring	0.35	16
American Avocet	Recurvirostra americana	Summer	0.32	37
American Avocet	Recurvirostra americana	Fall	0.32	12
Dusky Grouse	Dendragapus obscurus	Winter	1	21
Dusky Grouse	Dendragapus obscurus	Spring	1	4
Dusky Grouse	Dendragapus obscurus	Summer	0.9	68
Dusky Grouse	Dendragapus obscurus	Fall	0.96	65
Ruffed Grouse	Bonasa umbellus	Winter	1	1243
Ruffed Grouse	Bonasa umbellus	Spring	0.98	162
Ruffed Grouse	Bonasa umbellus	Summer	0.93	166
Ruffed Grouse	Bonasa umbellus	Fall	0.98	757
Greater Prairie-Chicken	Tympanuchus cupido	Winter	0.97	23
Greater Prairie-Chicken	Tympanuchus cupido	Spring	0.99	11
Greater Prairie-Chicken	Tympanuchus cupido	Summer	0.7	24
Greater Prairie-Chicken	Tympanuchus cupido	Fall	0.78	42
Lesser Prairie-Chicken	Tympanuchus pallidicinctus	Winter	0.93	8
Lesser Prairie-Chicken	Tympanuchus pallidicinctus	Spring	0.81	7
Lesser Prairie-Chicken	Tympanuchus pallidicinctus	Summer	0.33	6
Lesser Prairie-Chicken	Tympanuchus pallidicinctus	Fall	0.83	13
Sharp-tailed Grouse	Tympanuchus phasianellus	Winter	1	102
Sharp-tailed Grouse	Tympanuchus phasianellus	Spring	0.98	17
Sharp-tailed Grouse	Tympanuchus phasianellus	Summer	0.97	9
Sharp-tailed Grouse	Tympanuchus phasianellus	Fall	0.78	48
Greater Sage-Grouse	Centrocercus urophasianus	Winter	0.92	38
Greater Sage-Grouse	Centrocercus urophasianus	Spring	0.98	39
Greater Sage-Grouse	Centrocercus urophasianus	Summer	0.91	106
Greater Sage-Grouse	Centrocercus urophasianus	Fall	0.98	29
Gray Partridge	Perdix perdix	Winter	1	34
Gray Partridge	Perdix perdix	Spring	0.96	8
Gray Partridge	Perdix perdix	Summer	0.89	6
Gray Partridge	Perdix perdix	Fall	0.98	27
Northern Bobwhite	Colinus virginianus	Winter	0.97	2315
Northern Bobwhite	Colinus virginianus	Spring	0.83	54
Northern Bobwhite	Colinus virginianus	Summer	0.73	82
Northern Bobwhite	Colinus virginianus	Fall	0.82	109
Scaled Quail	Callipepla squamata	Winter	0.93	164
Scaled Quail	Callipepla squamata	Spring	0.68	10
Scaled Quail	Callipepla squamata	Summer	0.67	28
Scaled Quail	Callipepla squamata	Fall	0.8	56
