level	name	condition	replacewith	notes
Scientific_Name	Spermophilus variegatus	unmatched	Otospermophilus variegatus	
Scientific_Name	Tringa melanoleuca 	unmatched	Tringa melanoleuca	
Scientific_Name	Anas carolinensis	unmatched	Anas crecca	
Scientific_Name	Columba fasciata	unmatched	Patagioenas fasciata	
Scientific_Name	Ictalurus nebulosus	unmatched	Ameiurus nebulosus	
Scientific_Name	Guiraca caerulea	unmatched	Passerina caerulea	
Scientific_Name	Paralichthys denatus	unmatched	Paralichthys dentatus	
Scientific_Name	Capella gallinago	unmatched	Gallinago gallinago	
Scientific_Name	Catostomus commersoni	unmatched	Catostomus commersonii	
Scientific_Name	Alosa pseudoharengus	unmatched	Alosa pseudoharengus	
Scientific_Name	Melanitta deglandi	unmatched	Melanitta fusca	
Scientific_Name	Philohela minor	unmatched	Scolopax minor	
Scientific_Name	Erethizon dorsatum	unmatched	Erethizon dorsatus	
Scientific_Name	Asterias vulgaris	unmatched	Asterias rubens	
Scientific_Name	Micropterus dolomieui	unmatched	Micropterus dolomieu	
Scientific_Name	Canis familiaris	unmatched	Canis lupus	
Scientific_Name	Seiurus aurocapillus	unmatched	Seiurus aurocapilla	
Scientific_Name	Clethrionomys gapperi	unmatched	Myodes gapperi	
Scientific_Name	Vermivora ruficapilla	unmatched	Leiothlypis ruficapilla	
Scientific_Name	Corydalis cornuta	unmatched		keep as is
Scientific_Name	Rana catesbeiana	unmatched	Lithobates catesbeianus	
Scientific_Name	Parus bicolor	unmatched	Baeolophus bicolor	
Scientific_Name	Dendroica petechia	unmatched	Setophaga petechia	
Scientific_Name	Dendroica coronata	unmatched	Setophaga coronata	
Scientific_Name	Carduelis tristis	unmatched	Spinus tristis	
Scientific_Name	Carpodacus mexicanus	unmatched	Haemorhous mexicanus	
Scientific_Name	Dendrocopos villosus	unmatched	Picoides villosus	
Scientific_Name	Dendrocopos pubescens	unmatched	Picoides pubescens	
Scientific_Name	Otus asio	unmatched	Megascops asio	
Scientific_Name	Spizella arborea	unmatched	Spizelloides arborea	
Scientific_Name	Phrynosoma douglassii	unmatched	Phrynosoma douglasii	
Scientific_Name	Rana pipiens	unmatched	Lithobates pipiens	
Scientific_Name	Sylvilagus nuttalii	unmatched	Sylvilagus nuttallii	
Scientific_Name	Lemmiscus curtatus	unmatched	Lemmiscus curtatus	
Scientific_Name	Corvus brachyrhyncos	unmatched	Corvus brachyrhynchos	
Scientific_Name	Perognathus formosus	unmatched	Chaetodipus formosus	
Scientific_Name	Akodon longipilis	unmatched	Abrothrix longipilis	
Scientific_Name	Akodon olivaceus	unmatched	Abrothrix olivaceus	
Scientific_Name	Corvus monedula	unmatched	Coloeus monedula	
Scientific_Name	Tetrao tetrix	unmatched	Lyrurus tetrix	
Scientific_Name	Eumeces brevirostris	unmatched	Eumeces brevirostris	
Scientific_Name	Cnemidophorus tigris	unmatched	Cnemidophorus tigris	
Scientific_Name	Spermophilus parryii	unmatched	Urocitellus parryii	
Scientific_Name	Aphodius fimetarius	unmatched	Aphodius fimetarius	
Scientific_Name	Aphodius fimetarius	unmatched	Aphodius fimetarius	
Scientific_Name	Symplecta punctipennis	unmatched	Symplecta hybrida	
Scientific_Name	Scathophaga furcata	unmatched	Scathophaga furcata	
Scientific_Name	Cercyon limbatus	unmatched	Cercyon limbatus	
Scientific_Name	Pteromicra glabricula	unmatched	Pteromicra glabricula	
Scientific_Name	Dichanthelium wilcoxianum	unmatched	Dichanthelium wilcoxianum	
Scientific_Name	Echinochloa crus-galli	unmatched	Echinochloa crus-galli	
Scientific_Name	Tegenaria domestica	unmatched	Tegenaria domestica	
Scientific_Name	Schedonorus pratensis	unmatched	Schedonorus pratensis	
Scientific_Name	Morella caroliniensis	unmatched	Morella caroliniensis	
Scientific_Name	Morella caroliniensis	unmatched	Morella caroliniensis	
Scientific_Name	Persicaria pensylvanica	unmatched	Persicaria pensylvanica	
Scientific_Name	Salsola tragus	unmatched	Salsola tragus	
Scientific_Name	Celtis laevigata	unmatched	Celtis laevigata	
Scientific_Name	Silpha americana	unmatched	Necrophila americana	
Scientific_Name	Sambucus callicarpa	unmatched	Sambucus racemosa	
Scientific_Name	Rhamnus purshiana	unmatched	Rhamnus purshiana	
Scientific_Name	Photinia arbutifolia	unmatched	Heteromeles arbutifolia	
Scientific_Name	Vicia leavenworthii	unmatched	Vicia ludoviciana	
Scientific_Name	Panicum pilcomayense	unmatched	Panicum bergii	
Scientific_Name	Satureja brownei	unmatched	Clinopodium brownei	
Scientific_Name	Panicum arizonicum	unmatched	Urochloa arizonica	
Scientific_Name	Sida filipes	unmatched	Meximalva filipes	
Scientific_Name	Sorghum vulgare	unmatched	Sorghum bicolor	
Scientific_Name	Urochloa fasciculata	unmatched	Urochloa fusca	
Scientific_Name	Paspalum boscianum	unmatched	Paspalum scrobiculatum	
Scientific_Name	Toxicodendron radicans	unmatched	Toxicodendron radicans	
Scientific_Name	Aleurites moluccana	unmatched	Aleurites moluccanus	
Scientific_Name	Argemone alba	unmatched	Argemone albiflora	
Scientific_Name	Cassia leschenaultiana	unmatched	Chamaecrista nictitans	
Scientific_Name	Chenopodium ambrosioides	unmatched	Dysphania ambrosioides	
Scientific_Name	Desmodium uncinatum	unmatched	Desmodium sandwicense	
Scientific_Name	Syzygium cumini	unmatched	Syzygium cumini	
Scientific_Name	Euphorbia geniculata	unmatched	Euphorbia heterophylla	
Scientific_Name	Leucaena glauca	unmatched	Leucaena leucocephala	
Scientific_Name	Opuntia megacantha	unmatched	Opuntia ficus-indica	
Scientific_Name	Portulaca cyanosperma	unmatched	Portulaca pilosa	
Scientific_Name	Solanum nodiflorum	unmatched	Solanum americanum	
Scientific_Name	Sporobolus capensis	unmatched	Sporobolus africanus	
Scientific_Name	Styphelia tameiameiae	unmatched	Leptecophylla tameiameiae	
Scientific_Name	Waltheria americana	unmatched	Waltheria indica	
