source taxon name	name changed to	taxon id	notes	original source
Megilla maculata	Coleomegilla maculata			"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Cryptopleurus vagans	Cryptopleurum vagans	ITIS:193675		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Carphophilus hemipterus	Carpophilus hemipterus	ITIS:114296		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Cedionychis miniata	Oedionychus miniatus			"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Hygrotrechus sp	Gerridae		source taxon name is obsolete and currently accepted classification is unclear past the family Gerridae	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Anomaea laticlavia	Anomoea laticlavia	ITIS:721283		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Rhinoneus pyrrhopus	Campylirhynchus pyrrhopus	ITIS:617255		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Scolytus 4-spinosus	Scolytus quadrispinosus	ITIS:114950		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Tachycellus atrimedius	Bradycellus atrimedeus	ITIS:111003		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Prunus sp	Prunus avium	ITIS:24770	"specific epithet not listed but common name given as ""domestic cherry"", inferred to be Prunus avium."	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Bembex fasciata	Stizus fasciatus	GBIF:4494615		"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
Cedionychis miniata	Kuschelina miniata	ITIS:720757	misspelling of Oedionychis miniata which has also been reclassified as Kuschelina miniata	"Beal, F. E. L. 1912. Food of our more important flycatchers. U.S. Dep. Agric. Biol. Surv. Bull. 44."
