Source	Common_Name	Subspecies	Observation_Year_Begin	Observation_Month_Begin	Observation_Season	Analysis_Number	Bird_Sample_Size	Habitat_type	Location_Region	Location_Specific	Item_Sample_Size	Diet_Type	Study_Type	Sites	Sum_Diet	Checked
"Capen, D. E. 1977. The impact of pesticides on the White-faced Ibis. Phd Thesis. Utah State University, Logan."	White-faced Ibis	NA	1974	5	spring;summer	NA	55	agriculture	Utah	Agricultural fields near Bear River delta	2758	Items	emetic	NA	0.9292	
"Carlisle, J. D., K. L. Olmstead, C. H. Richart, and D. L. Swanson. 2012. Food Availability, Foraging Behavior, and Diet of Autumn Migrant Landbirds in the Boise Foothills of Southwestern Idaho. Condor 114(3):449-461."	Cordilleran Flycatcher	NA	2000	NA	fall	1	12	coniferous forest;shrubland	Idaho	Lucky Peak	NA	Wt_or_Vol	stomach contents	NA	1.667	
"Casaux, R., A. Ramon, M. A. Tartara, V. Borrell and R. Gonc. 2012. Diet of breeding neotropic cormorants at the Carrileufu River, Patagonia: is there any impact on recreational fish resources?. Ardeola 59:279-289."	Neotropic Cormorant	NA	2006	10	spring;summer	NA	33	wetland	Argentina	Carrileufu River	NA	Items	pellet contents	1	1.105	
"Catry, T., J. A. Ramos, S. Jaquemet, L. Faulquier, M. Berlincourt, A. Hauselmann, P. Pinet and M. Le Corre. 2009. Comparative foraging ecology of a tropical seabird community of the Seychelles, western Indian Ocean. Mar. Ecol. Prog. Ser. 374:259-272."	Roseate Tern	NA	2005	NA		NA	NA	marine	Seychelles	Aride and Cousin Islands	221	Items	emetic	NA	1.045	
"Catry, T., J. A. Ramos, S. Jaquemet, L. Faulquier, M. Berlincourt, A. Hauselmann, P. Pinet and M. Le Corre. 2009. Comparative foraging ecology of a tropical seabird community of the Seychelles, western Indian Ocean. Mar. Ecol. Prog. Ser. 374:259-272."	Wedge-tailed Shearwater	NA	2005	NA		NA	70	wetland	Seychelles	Aride and Cousin Islands	744	Items	emetic	NA	1.148	
"Catry, T., J. A. Ramos, S. Jaquemet, L. Faulquier, M. Berlincourt, A. Hauselmann, P. Pinet and M. Le Corre. 2009. Comparative foraging ecology of a tropical seabird community of the Seychelles, western Indian Ocean. Mar. Ecol. Prog. Ser. 374:259-272."	White-tailed Tropicbird	NA	2005	NA		NA	284	wetland	Seychelles	Aride and Cousin Islands	1039	Items	emetic	NA	1.096	
"Cava, J. A., A. C. Stewart, and R. N. Rosenfield. 2012. Introduced Species Dominate the Diet of Breeding Urban Cooper's Hawks in British Columbia. Wilson Journal of Ornithology 124(4): 775-782."	Cooper's Hawk	NA	1995	3	multiple	1	NA	coniferous forest	British Columbia	Victoria	2896	Items	prey remains	44	0.969	
"Cottam, C. and J. B. Trefethen. 1968. White-wings: the life history, status, and management of the White-winged Dove. D. Van Nostrand Co., Inc. Princeton, NJ."	White-winged Dove	NA	1938	6	summer	1	NA	agriculture	Texas;Arizona;Mexico	multiple	50	Wt_or_Vol	stomach contents	5	1.0335	
"Cottam, C. and J. B. Trefethen. 1968. White-wings: the life history, status, and management of the White-winged Dove. D. Van Nostrand Co., Inc. Princeton, NJ."	White-winged Dove	NA	1938	7	summer	1	NA	agriculture	Texas;Arizona;Mexico	multiple	29	Wt_or_Vol	stomach contents	5	0.8925	
"Cottam, C. and J. B. Trefethen. 1968. White-wings: the life history, status, and management of the White-winged Dove. D. Van Nostrand Co., Inc. Princeton, NJ."	White-winged Dove	NA	1938	7	summer	1	NA	agriculture	Texas;Arizona;Mexico	multiple	75	Wt_or_Vol	stomach contents	5	1.034	
"Cottam, C. and J. B. Trefethen. 1968. White-wings: the life history, status, and management of the White-winged Dove. D. Van Nostrand Co., Inc. Princeton, NJ."	White-winged Dove	NA	1938	8	summer	1	NA	agriculture	Texas;Arizona;Mexico	multiple	130	Wt_or_Vol	stomach contents	5	1.0355	
"Cottam, C. and P. Knappen. 1939. Food of some uncommon North American birds. Auk 56:138-169."	Trumpeter Swan	NA	1937	4	spring	1	2	NA	Montana	Red Rock Lake	NA	Wt_or_Vol	stomach contents	NA	1.04	
"Cruz, A. 1980. Feeding ecology of the Black-whiskered Vireo and associated foliage-gleaning birds in Jamaica. Wilson Bull. 92:40-52."	Black-whiskered Vireo	NA	1970	NA	summer	1	17	broadleaf evergreen forest;shrubland	Jamaica	Lluidas Vale	182	Wt_or_Vol	stomach contents	1	1.049	
"Darrow, R. 1939. Seasonal food preferences of adult and of young grouse in New York State. Trans. N. Am. Wildl. Nat Resour. Conf. 4:585-590."	Ruffed Grouse	NA	NA	6	summer	NA	179	NA	New York	Adirondack region	NA	Wt_or_Vol	crop contents; stomach contents	1	0.71	
"Darrow, R. 1939. Seasonal food preferences of adult and of young grouse in New York State. Trans. N. Am. Wildl. Nat Resour. Conf. 4:585-590."	Ruffed Grouse	NA	NA	6	summer	NA	179	NA	New York	Area of the state not including Adirondacks or Catskills	NA	Wt_or_Vol	crop contents; stomach contents	1	0.589	
"Darrow, R. 1939. Seasonal food preferences of adult and of young grouse in New York State. Trans. N. Am. Wildl. Nat Resour. Conf. 4:585-590."	Ruffed Grouse	NA	NA	6	summer	NA	179	NA	New York	Catskill region	NA	Wt_or_Vol	crop contents; stomach contents	1	0.5601	
"Darrow, R. 1939. Seasonal food preferences of adult and of young grouse in New York State. Trans. N. Am. Wildl. Nat Resour. Conf. 4:585-590."	Ruffed Grouse	NA	NA	NA	multiple	NA	263	NA	New York	Adirondack region	NA	Wt_or_Vol	crop contents; stomach contents	1	0.6187	
"Darrow, R. 1939. Seasonal food preferences of adult and of young grouse in New York State. Trans. N. Am. Wildl. Nat Resour. Conf. 4:585-590."	Ruffed Grouse	NA	NA	NA	multiple	NA	263	NA	New York	Area of the state not including Adirondacks or Catskills	NA	Wt_or_Vol	crop contents; stomach contents	1	0.5282	
"Darrow, R. 1939. Seasonal food preferences of adult and of young grouse in New York State. Trans. N. Am. Wildl. Nat Resour. Conf. 4:585-590."	Ruffed Grouse	NA	NA	NA	multiple	NA	263	NA	New York	Catskill region	NA	Wt_or_Vol	crop contents; stomach contents	1	0.4312	
"Doerr, P. D., L. B. Keith, D. H. Rusch, and C. A. Fischer. Characteristics of Winter Feeding Aggregations of Ruffed Grouse in Alberta. 1974. The Journal of Wildlife Management 38: 601-615."	Ruffed Grouse	NA	1967	12	winter	NA	20	deciduous forest	Alberta	Rochester	NA	Wt_or_Vol	crop contents	1	1.1	
"Doerr, P. D., L. B. Keith, D. H. Rusch, and C. A. Fischer. Characteristics of Winter Feeding Aggregations of Ruffed Grouse in Alberta. 1974. The Journal of Wildlife Management 38: 601-615."	Ruffed Grouse	NA	1968	12	winter	NA	50	deciduous forest	Alberta	Rochester	NA	Wt_or_Vol	crop contents	1	0.88	
"Elson, L. T., F. E. Schwab and N. P. P. Simon. 2007. Winter food habits of Lagopus lagopus (Willow Ptarmigan) as a mechanism to explain winter sexual segregation. Northeast. Nat. 14:89-98."	Willow Ptarmigan	NA	1998	12	winter	3	97	woodland;coniferous forest	Newfoundland And Labrador	Within 25km of the Lobstick hydro control structure	NA	Wt_or_Vol	crop contents	1	0.931	
"Elson, L. T., F. E. Schwab and N. P. P. Simon. 2007. Winter food habits of Lagopus lagopus (Willow Ptarmigan) as a mechanism to explain winter sexual segregation. Northeast. Nat. 14:89-98."	Willow Ptarmigan	NA	1998	12	winter	3	97	woodland;coniferous forest	Newfoundland And Labrador	Within 30 km of Mokami Hill	NA	Wt_or_Vol	crop contents	1	0.914	
"Elson, L. T., F. E. Schwab and N. P. P. Simon. 2007. Winter food habits of Lagopus lagopus (Willow Ptarmigan) as a mechanism to explain winter sexual segregation. Northeast. Nat. 14:89-98."	Willow Ptarmigan	NA	1998	12	winter	4	97	woodland;coniferous forest	Newfoundland And Labrador	Within 30 km of Mokami Hill	NA	Wt_or_Vol	crop contents	1	0.925	
"Findholt, S. L. and S. H. Anderson. 1995b. Diet and prey use patterns of the American White Pelican (Pelecanus erythrorhynchos) nesting at Pathfinder Reservoir, Wyoming. Colonial Waterbirds 18:58-68."	American White Pelican	NA	1988	6	summer	1	NA	wetland	Wyoming	"Pathfinder Reservoir, Carbon County"	4634	Items	emetic	1	1.11	
"Fischer, et al. 2010. Predation on bats by Great Kiskadees. Journal of Field Ornithology 81(1): 17-20."	Great Kiskadee	NA	1997	10	multiple	1	3	deciduous forest;forest	Brazil	Base de Estudos do Pantanal	123	Items	behavioral observation	1	0.869918423	
"Forsman, E. D., E. C. Meslow, and H. M. Wight. 1984. Distribution and biology of the Spotted Owl in Oregon. Wildl. Monogr. 87."	Spotted Owl	NA	1976	1	winter	1	NA	coniferous forest	Oregon	HJ Andrews Experimental Forest	46	Items	pellet contents	3	1.044	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2002	1	winter	NA	13	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.774	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2002	7	summer	NA	13	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.265	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2002	7	summer	NA	16	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.777	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2003	1	winter	NA	13	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.4245	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2003	1	winter	NA	25	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.023	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2003	7	summer	NA	25	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.692	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2004	1	winter	NA	15	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.8105	
"Garcia-Gonzalez, R., A. Aldezabal, N. A. Laskurain, A. Margalida, and C. Novoa. 2016. Influence of Snowmelt Timing on the Diet Quality of Pyrenean Rock Ptarmigan (Lagopus muta pyrenaica): Implications for Reproductive Success. PLoS ONE 11(2). doi:10.1371/journal.pone.0148632."	Rock Ptarmigan	pyrenaica	2004	7	summer	NA	13	woodland;shrubland	France	Canigou Massif	NA	Wt_or_Vol	fecal contents	1	0.72	
"Gasaway, W. C. 1976. Seasonal variation in diet, volatile fatty acid production and size of the cecum of Rock Ptarmigan. Comp. Biochem. Physiol. 53A:109-114."	Rock Ptarmigan	NA	1970	9	fall	NA	9	woodland	Alaska	Eagle Summit	NA	Wt_or_Vol	crop contents	1	0.956	
"Gherbi-Salmi, R., S. Doumadji and C. Voisin. 2012. Diet of chicks of Cattle Egrets Bubulcus ibis in the lower Soummam valley, Algeria. Ostrich 83:99-104."	Cattle Egret	NA	1998	5		NA	145	multiple	Algeria	Lower Soummam valley	1649	Items	emetic	NA	0.617	
"Gherbi-Salmi, R., S. Doumadji and C. Voisin. 2012. Diet of chicks of Cattle Egrets Bubulcus ibis in the lower Soummam valley, Algeria. Ostrich 83:99-104."	Cattle Egret	NA	1998	5		NA	145	multiple	Algeria	Lower Soummam valley	1649	Wt_or_Vol	emetic	NA	0.943	
"Gilmer, D. S. and R. E. Stewart. 1983. Ferruginous Hawk populations and habitat use in North Dakota. Journal of Wildlife Management 47:146-157."	Ferruginous Hawk	NA	1978	5	multiple	1	NA	grassland	North Dakota	"Stutsman, Kidder, Logan, and Burleigh counties"	151	Items	nest debris	1	0.9693	
"Haag, K. R., J. C. Joyce, W. M. Hetrick, and J. C. Jordan. 1987. Predation on waterhyacinth weevils and other aquatic insects by three wetland birds in Florida. Florida Entomologist 70:457-471."	Red-winged Blackbird	NA	1985	NA	spring	1	9	wetland	Florida	Orange Lake	NA	Items	esophagus contents; stomach contents	NA	0.95545	
"Harrison, C. S., T. S. Hida, and M. Seki. 1983. Hawaiian seabird feeding ecology. Wildl. Monogr. no. 85."	Tristram's Storm-Petrel		1978	1	winter;spring	3	10	marine	Hawaii	Laysan; Nihoa	44	Wt_or_Vol	emetic	2	0.902	
"Jodice, P. G. R., L. C. Wickliffe and E. B. Sachs. 2011. Seabird use of discards from a nearshore shrimp fishery in the South Atlantic Bight, USA. Mar. Biol."	Brown Pelican	NA	2006	5	spring;summer	NA	NA	wetland	South Carolina	Charleston Harbor and Cape Romain Natl Wildlife Refuge	1693	Items	behavioral observation	2	0.213	
"Johnson, J. H., R. M. Ross, R. D. McCullough and A. Mathers. 2010. Diet shift of double-crested cormorants in eastern Lake Ontario associated with the expansion of the invasive round goby. J. Great Lakes Res. 36:242-247."	Double-crested Cormorant	NA	1999	4	spring	NA	NA	wetland	Ontario	Pigeon Island	NA	Wt_or_Vol	emetic	NA	0.902	
"Johnson, J. H., R. M. Ross, R. D. McCullough and A. Mathers. 2010. Diet shift of double-crested cormorants in eastern Lake Ontario associated with the expansion of the invasive round goby. J. Great Lakes Res. 36:242-247."	Double-crested Cormorant	NA	1999	7	summer;fall	NA	NA	wetland	Ontario	Pigeon Island	NA	Wt_or_Vol	emetic	NA	0.969	
"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."	Black-and-white Warbler	NA	1873	7	summer	NA	17	woodland	Wisconsin	multiple	42	Items	stomach contents	1	0.05882353	
"King, F. H. 1883. Economic relations of Wisconsin birds. Geology of Wisconsin 441-610."	Tennessee Warbler	NA	1877	9	summer	NA	33	woodland	Wisconsin	multiple	131	Items	stomach contents	1	1.091667	
"Kobriger, G. D. 1965. Status, Movements, Habitats, and Foods of Prairie Grouse on a Sandhills Refuge. The Journal of Wildlife Management 29: 788-800."	Sharp-tailed Grouse	NA	1962	NA	summer	NA	44	wetland	Nebraska	Valentine National Wildlife Refuge	NA	Wt_or_Vol	crop contents; stomach contents	1	0.937	
"Kobriger, G. D. 1965. Status, Movements, Habitats, and Foods of Prairie Grouse on a Sandhills Refuge. The Journal of Wildlife Management 29: 788-800."	Sharp-tailed Grouse	NA	1962	NA	summer	NA	46	wetland	Nebraska	Valentine National Wildlife Refuge	NA	Wt_or_Vol	crop contents; stomach contents	1	0.961	
"Korschgen, L. J. 1966. Food and Nutrition of Ruffed Grouse in Missouri. The Journal of Wildlife Management 30: 86-100."	Ruffed Grouse	NA	1961	6	summer	NA	286	deciduous forest	Missouri	Warren County	NA	Wt_or_Vol	fecal contents	1	0.9	
"Korschgen, L. J. 1966. Food and Nutrition of Ruffed Grouse in Missouri. The Journal of Wildlife Management 30: 86-100."	Ruffed Grouse	NA	1961	7	summer	NA	418	deciduous forest	Missouri	Warren County	NA	Wt_or_Vol	fecal contents	1	0.942	
"Korschgen, L. J. 1966. Food and Nutrition of Ruffed Grouse in Missouri. The Journal of Wildlife Management 30: 86-100."	Ruffed Grouse	NA	1961	8	summer	NA	516	deciduous forest	Missouri	Warren County	NA	Wt_or_Vol	fecal contents	1	0.961	
"Lawrence, G. E. 1950. The diving and feeding activity of the Western Grebe on the breeding grounds. Condor 52:3-16."	Western Grebe	NA	1947	6	spring;summer	NA	24	wetland	California	"Clear Lake, Lake County"	485	Wt_or_Vol	stomach contents	NA	1.065	
"Liordos, V. and V. Goutner. 2008. Habitat and Temporal Variation in Diet of Great Cormorant Nestlings in Greek Colonies. Waterbirds 31:424-437."	Great Cormorant	NA	2002	4	spring	NA	NA	wetland	Greece	Axios Delta	111	Wt_or_Vol	emetic	1	0.963	
"May, J. C. 2018. Diet and nesting habitat of wading birds in a shallow eutrophic lake. Master's Thesis. Florida Atlantic Univ. Boca Raton, FL."	Snowy Egret	NA	2015	NA	spring;summer	NA	70	wetland	Florida	Lake Okeechobee	NA	Items	emetic	NA	1.04	
"May, T. A. and C. E. Braun. 1972. Seasonal food of adult White-tailed Ptarmigan in Colorado. J. Wildl. Manage. 36:1180-1186."	White-tailed Ptarmigan	NA	1966	7	summer	1	37	coniferous forest	Colorado	Northern Colorado;  Central Colorado	172	Wt_or_Vol	crop contents	16	0.94	
"McAtee, W. L. 1908. Food habits of the grosbeaks. U.S. Department of Agriculture Biological Survey, Bulletin No. 32. Washington, D.C."	Rose-breasted Grosbeak	NA	1908	1	summer	1	176	multiple	North America	multiple	NA	Wt_or_Vol	stomach contents	NA	0.0179	
"Mckay, W. D. 1981. Notes on Purple Gallinules in Colombian rice fields. Wilson Bull. 93:267-271."	Purple Gallinule	NA	1977	5	spring;summer	1	42	agriculture;wetland	Colombia	Hacienda La Corocora	NA	Wt_or_Vol	stomach contents	1	1.065	
"Meanley, B. 1956. Food habits of the king rail in the Arkansas ricefields. Auk 73:252-258."	King Rail	NA	1950	12	winter	1	33	wetland	Arkansas	Stuttgart rice fields	NA	Wt_or_Vol	stomach contents	NA	1.035	
"Millsap, B. A. 1981. Distributional status of falconiformes in westcentral Arizona-with notes on ecology, reproductive success and management. Technical Note No. 355. U.S. Department of the Interior, Bureau Land Management, Denver, CO."	American Kestrel	NA	1979	1	multiple	1	NA	multiple	Arizona	"Mohave, Yavapai, Yuma, and Maricopa Counties"	122	Items	pellet contents; prey remains; behavioral observation	NA	0.96	
"Miranda, L. and Collazo, J.A. 1997. Food habits of 4 species of wading birds (Ardeidae) in a tropical mangrove swamp. Colon. Waterbird. 20:413–418."	Great Egret	NA	1994	12	multiple	NA	13	wetland	Puerto Rico	Boqueron Wildlife Refuge	222	Items	stomach contents	NA	0.384	
"Montevecchi, W. A., V. L. Birt, and D. K. Cairns. 1988. Dietary changes of seabirds associated with local fisheries failures. Biol. Oceanogr. 5:153-161."	Northern Gannet	NA	1977	7	summer	1	NA	marine	Newfoundland And Labrador	Funk Island	NA	Wt_or_Vol	emetic	1	2	
"Munro, J. 1939. Studies of water-fowl in British Columbia: Barrow's golden-eye, American golden-eye. Transactions of the Royal Canadian Institute 24:259-318."	Barrow's Goldeneye	NA	NA	6	summer	1	7	lake	British Columbia	Nicola valley pond	NA	Wt_or_Vol	stomach contents	NA	0.01	
"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. Condor 42:198-202."	Bald Eagle	NA	1937	NA	spring;summer	1	NA	NA	Alaska	Aleutian Islands	325	Items	prey remains	18	1.097	
"Neff, J. A. 1947. Habits, food, and economic status of the Band-tailed Pigeon. U.S. Fish and Wildlife Service, North American Fauna 58."	Band-tailed Pigeon	NA	1947	5	summer	1	197	multiple	Western United States	multiple	NA	Wt_or_Vol	stomach contents	NA	0.961	
"Neff, J. A. 1947. Habits, food, and economic status of the Band-tailed Pigeon. U.S. Fish and Wildlife Service, North American Fauna 58."	Band-tailed Pigeon	NA	1947	8	fall	1	207	multiple	Western United States	multiple	NA	Wt_or_Vol	stomach contents	NA	0.961	
"Newton, I. 1967. The adaptive radiation and feeding ecology of some British finches. Ibis 109:33-98."	Eurasian Linnet	NA	1961	1	winter	1	NA	woodland;deciduous forest;agriculture	England	Wytham Woods	NA	Items	esophagus contents	NA	1.095	
"Newton, I. 1967. The adaptive radiation and feeding ecology of some British finches. Ibis 109:33-98."	European Goldfinch	NA	1961	8	summer	1	NA	woodland;deciduous forest;agriculture	England	Wytham Woods	NA	Items	behavioral observation	NA	1.035	
"Nolan, V., Jr. 1978. The Ecology and Behavior of the Prarie Warbler Dendroica Discolor. Ornithological Monographs 26:1-593."	Prairie Warbler	paludicola	1885	3	spring	1	3	NA	Eastern North America	NA	NA	Wt_or_Vol	stomach contents	NA	1.05	
"Otvos, I. S. and R. W. Stark. 1985. Arthropod food of some forest-inhabiting birds. Canadian Entomologist 117:971-990."	White-headed Woodpecker	NA	1962	12	multiple	1	19	coniferous forest	California	multiple	914	Wt_or_Vol	stomach contents	4	1.039	
"Parrish, J. D. 1997. Patterns of Frugivory and Energetic Condition in Nearctic Birds During Autumn Migration. Condor 99: 681-697."	American Redstart	NA	1993	8	summer	1	68	shrubland	Rhode Island	multiple	NA	Wt_or_Vol	fecal contents	12	1.043	
"Passmore, M. F. Population biology of the Common Ground Dove and ecological relationships with Mourning and White-winged Doves in South Texas. th Texas. Ph.D. dissertation,  Texas A & M Univ., College Station, Texas. 96 pp."	Mourning Dove	NA	1978	4	spring	1	27	forest;grassland;wetland	Texas	Live Oak County	NA	Wt_or_Vol	stomach contents	1	1.051	
"Passmore, M. F. Population biology of the Common Ground Dove and ecological relationships with Mourning and White-winged Doves in South Texas. th Texas. Ph.D. dissertation,  Texas A & M Univ., College Station, Texas. 96 pp."	Mourning Dove	NA	1978	10	fall	1	16	forest;grassland;wetland	Texas	Live Oak County	NA	Wt_or_Vol	stomach contents	1	1.1235	
"Passmore, M. F. Population biology of the Common Ground Dove and ecological relationships with Mourning and White-winged Doves in South Texas. th Texas. Ph.D. dissertation,  Texas A & M Univ., College Station, Texas. 96 pp."	White-winged Dove	NA	1978	7	summer	1	22	forest;grassland;wetland	Texas	Live Oak County	NA	Wt_or_Vol	stomach contents	1	1.0575	
"Petersen, L. 1979. Ecology of Great Horned Owls and Red-tailed Hawks in southeastern Wisconsin. Wisconsin Department of Natural Resources, Technical Bulletin 111."	Red-tailed Hawk	NA	1975	4	spring	1	NA	agriculture;deciduous forest	Wisconsin	Dodge and Jefferson counties	169	Items	pellet contents; prey remains	15	0.95	
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Short-eared Owl	NA	1973	NA	summer	1	NA	agriculture;woodland	Ontario	Amherst Island	NA	Items	pellet contents	1	0.92	
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Short-eared Owl	NA	1974	NA	summer	1	NA	agriculture;woodland	Ontario	Amherst Island	NA	Items	pellet contents	1	1.09	
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Snowy Owl	NA	1972	NA	winter	1	NA	agriculture;woodland	Ontario	Amherst Island	NA	Wt_or_Vol	pellet contents	1	1.09	
"Post, W. 1990. Nest survival in a large ibis-heron colony during a three-year decline to extinction. Colon. Waterbirds 13:50-61."	Tricolored Heron	NA	1985	5	summer	NA	90	forest	California	Drum Island	NA	Items	emetic	NA	1.062	
"Potter, T. D., S. D. Schemnitz, and W. D. Zeedyk. 1985. Status and ecology of Gould's Turkey in the Peloncillo Mts. of New Mexico. Proc. Natl. Wild Turkey Symp. 5:1-24."	Wild Turkey	NA	1983	1	winter	NA	60	woodland	New Mexico	Coronado National Forest	NA	Wt_or_Vol	fecal contents	1	1.06	
"Potter, T. D., S. D. Schemnitz, and W. D. Zeedyk. 1985. Status and ecology of Gould's Turkey in the Peloncillo Mts. of New Mexico. Proc. Natl. Wild Turkey Symp. 5:1-24."	Wild Turkey	NA	1983	4	spring	NA	60	woodland	New Mexico	Coronado National Forest	NA	Wt_or_Vol	fecal contents	1	1.05	
"Potter, T. D., S. D. Schemnitz, and W. D. Zeedyk. 1985. Status and ecology of Gould's Turkey in the Peloncillo Mts. of New Mexico. Proc. Natl. Wild Turkey Symp. 5:1-24."	Wild Turkey	NA	1983	7	summer	NA	60	woodland	New Mexico	Coronado National Forest	NA	Wt_or_Vol	fecal contents	1	1.035	
"Ramo, C. and Busto, B. 1993. Resource use by herons in a Yucatan wetland during the breeding season. Wilson Bull. 105:573–586."	Great Egret	NA	1986	3	spring	NA	24	wetland	Mexico	Sian Ka'an Biosphere Reserve	471	Wt_or_Vol	pellet contents	3	0.965	
"Robert, M., L. Cloutier and P. Laporte. 1997. The summer diet of the Yellow Rail in Southern Quebec. Wilson Bull. 109:702-710."	Yellow Rail	NA	1994	6	summer	NA	99	wetland	Quebec	Along St. Lawrence River	1499	Items	emetic	6	1.982	
"Savage, A.L., C. E. Moorman, J. A. Gerwin, and C. Sorenson.  2010. Prey Selection by Swainson's Warblers on the Breeding Grounds. Condor: 112(3):605-614"	Swainson's Warbler	NA	2007	4	spring	1	96	wetland;coniferous forest	South Carolina	Woodbury Wildlife Management	155	Items	crop contents	4	0.895	
"Schemnitz, S. D. 1956. Wild Turkey Food Habits in Florida. J. Wildl. Manage. 20: 132-137."	Wild Turkey	NA	1952	10	winter	NA	32	multiple	Florida	multiple	NA	Wt_or_Vol	crop contents	10	0.9553	
"Schemnitz, S. D. 1956. Wild Turkey Food Habits in Florida. J. Wildl. Manage. 20: 132-137."	Wild Turkey	NA	1953	1	fall	NA	NA	woodland;forest;grassland;wetland	Florida	multiple	NA	Wt_or_Vol	fecal contents	16	0.9535	
"Schemnitz, S. D. 1956. Wild Turkey Food Habits in Florida. J. Wildl. Manage. 20: 132-137."	Wild Turkey	NA	1953	1	spring	NA	NA	woodland;forest;grassland;wetland	Florida	multiple	NA	Wt_or_Vol	fecal contents	16	1.074	
"Schemnitz, S. D. 1956. Wild Turkey Food Habits in Florida. J. Wildl. Manage. 20: 132-137."	Wild Turkey	NA	1953	1	summer	NA	NA	woodland;forest;grassland;wetland	Florida	multiple	NA	Wt_or_Vol	fecal contents	16	0.8835	
"Schemnitz, S. D. 1956. Wild Turkey Food Habits in Florida. J. Wildl. Manage. 20: 132-137."	Wild Turkey	NA	1953	1	winter	NA	NA	woodland;forest;grassland;wetland	Florida	multiple	NA	Wt_or_Vol	fecal contents	16	1.092	
"Schneider, D. C. and G. L. Hunt, Jr. 1984. A comparison of seabird diets and foraging distribution around the Pribilof I. Pages 86-95 in Marine birds: their feeding ecology and commercial fisheries interactions. (Nettleship, D. N., G. A. Sanger, and P. F. Springer, Eds.) Can. Wildl. Serv. Spec. Publ. Ottawa, ON."	Red-faced Cormorant	NA	1975	6	summer	NA	52	wetland	Alaska	St. George	125	Items	emetic	NA	1.17	
