common_name	family	revised	section	subsection	citation	checked	usable_data	notes
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Haywood, D. D. and R. D. Ohmart. 1986. Utilization of benthic-feeding fish by inland breeding Bald Eagles. Condor 88:35-42."	y	Y	
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Macdonald, P. R. N. and P. J. Austin-Smith. 1989. Bald Eagle, Haliaeetus leucocephalus, nest distribution in Cape Breton Island, Nova Scotia. Can. Field-Nat. 103:293-296."	n		
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Canton, E. L., B. R. McClelland, D. A. Patterson, and R. E. Yates. 1992. Characteristics of foraging perches used by breeding Bald Eagles in Montana. Wilson Bull. 104:136-142."	y	n	
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Retfalvi, L. 1970. Food of nesting Bald Eagles on San Juan Islan, Washington. Condor 72:358-361."	y	Y	
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Brooks, A. C. 1922. Notes on the habits and abundance of Bald Eagles in British Columbia. Auk 39:556-559."	y	n	"data sparse and nonspecific; tried to enter data, but the study was too ambiguous"
Bald Eagle	Accipitridae	2000	Feeding	Main Foods Taken	"Delong, Jr., D. C. 1990. Effects of food on Bald Eagle distribution and abundance on the northern Chesapeake Bay: an experimental approach. Master's Thesis. Virginia Polytechnic Inst. and State Univ. Blacksburg."	n		
Bald Eagle	Accipitridae	2000	Feeding	Main Foods Taken	"Sherrod, S. K., C. M. White, and F. S. L. Williamson. 1976. Biology of the Bald Eagle on Amchitka Island, Alaska. Living Bird 15:145-182."	n		
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Knight, R. L., P. J. Randolph, G. T. Allen, L. S. Young, and R. T. Wigen. 1990. Diets of nesting Bald Eagles, Haliaeetus leucocephalus, in western Washington. Can. Field-Nat. 104:545-551."	n		
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Dixon, J. S. 1909. A life history of the northern Bald Eagle. Condor 11:187-193."	y	n	
Bald Eagle	Accipitridae	2000			"Fisher, A. K. 1893. The hawks and owls of the United States in their relation to agriculture. U.S. Dep. Agric. Div. Ornithol. Mammal. Bull. no. 3."	y	n	book- available in Science Library Annex
Bald Eagle	Accipitridae	2000	"Drinking, Pellet-Casting, And Defecation"		"Duke, G. E., O. A. Evanson, and A. Egers. 1976. Meal to pellet intervals in 14 species of captive raptors. Comp. Biochem. Physiol. 53:1-6."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Mccollough, M. A., C. S. Todd, and R. B. Owen, Jr. 1994. Supplemental feeding program for wintering Bald Eagles in Maine. Wildl. Soc. Bull. 22:147-154."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Livingston, S. A., C. S. Todd, W. B. Krohn, and R. B. Owen, Jr. 1990. Habitat models for nesting Bald Eagles in Maine. J. Wildl. Manage. 54:644-653."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Steenhof, K. 1983. Activity patterns of Bald Eagles wintering in South Dakota. Raptor Res. 17:57-62."	y	n	
Bald Eagle	Accipitridae	2000	Nutrition And Energetics		"Stalmaster, M. V. and J. A. Gessaman. 1982. Food consumption and energy requirements of captive Bald Eagles. J. Wildl. Manage. 46:646-654."	y	n 	
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Griffin, C. R., T. S. Baskett, and R. D. Sparrowe. 1982. Ecology of Bald Eagles wintering near a waterfowl concentration. Rep. no. 247. U.S. Fish Wildl. Serv. Washington, D.C."	library		
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Knight, S. K. and R. L. Knight. 1983. Aspects of food finding by wintering Bald Eagles. Auk 100:477-484."	y	n	
Bald Eagle	Accipitridae	2000	Food Selection And Storage		"Oberholser, H. C. 1906. The North American eagles and their economic relations. U.S. Dep. Agric. Biol. Surv. Bull. 27, Washington, D.C."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Hodges, J. I., E. L. Boeker, and A. J. Hansen. 1987. Movements of radio-tagged Bald Eagles, Haliaeetus leucocephalus, in and from southwestern Alaska. Can. Field Nat. 101:136-140."	n		
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Stalmaster, M. V. and J. A. Gessaman. 1984. Ecological energetics and foraging behavior of overwintering Bald Eagles. Ecol. Monogr. 54:407-428."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Phillips, R. L. and F. S. Blom. 1988. Distribution and magnitude of eagle/livestock conflicts in the western United States. Proc. Vertebr. Pest Conf. 13:241-244."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Watt, J., B. Krausse, and T. M. Tinker. 1995. Bald Eagle kleptoparasitizing sea otters at Amchitka Island, Alaska. Condor 87:588-590."	y	n	"sparse, qualitative diet data"
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Mcewan, L. C. and D. H. Hirth. 1980. Food habits of the Bald Eagle in north-central Florida. Condor 82:229-231."	y	Y	
Bald Eagle	Accipitridae	2000	Feeding	Main Foods Taken	"Spencer, D. A. 1976. Wintering of the migrant Bald Eagle in the lower 48 states. Nat. Agric. Chem. Assoc. Washington, D.C."	n	n	
Bald Eagle	Accipitridae	2000	Food Selection And Storage		"Stewart, P. A. 1970. Weight changes and feeding behavior of a captive-reared Bald Eagle. Bird-banding 41:103-110."	y	n	
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Kozie, K. D. and R. K. Anderson. 1991. Productivity, diet, and environmental contaminants in Bald Eagles nesting near the Wisconsin shoreline of Lake Superior. Arch. Environ. Contam. Toxicol. 20:41-48."	y	Y	book-available in the UL
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Harmata, A. R. 1984. Bald Eagles of the San Luis valley, Colorado: their winter ecology and spring migration. Phd Thesis. Montana State Univ. Bozeman."	y	Y	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Hansen, A. J. 1986. Fighting behavior in Bald Eagles: a test of game theory. Ecology 67:787-797."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Microhabitat For Foraging	"Swenson, J. E. 1979. The relationship between prey species ecology and dive success in Ospreys. Auk 96:408-412."	y	n	full document received through email from Virginia Tech
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Swenson, J. E., K. L. Alt, and R. L. Eng. 1986. Ecology of Bald Eagles in the greater Yellowstone ecosystem. Wildl. Monogr. 95."	y	Y	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Dellasala, D. A., C. L. Thomas, and R. G. Anthony. 1989. Use of domestic sheep carrion by Bald Eagles wintering in the Willamette Valley, Oregon. Northwest Sci. 63:104-108."	y	Y	
Bald Eagle	Accipitridae	2000			"Stalmaster, M. V. 1987. The Bald Eagle. Universe Books, New York."	library		
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Stalmaster, M. V. 1983. An energetics simulation model for managing wintering Bald Eagles. J. Wildl. Manage. 47:349-359."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Stalmaster, M. V. and R. G. Plettner. 1992. Diets and foraging effectiveness of Bald Eagles during extreme winter weather in Nebraska. J. Wildl. Manage. 56:355-367."	y	Y	
Bald Eagle	Accipitridae	2000			"Mersmann, T. J. 1989. Foraging ecology of Bald Eagles on the northern Chesapeake Bay with an examination of techniques used in the study of Bald Eagle food habits. Master's Thesis. Virginia Polytechnic Inst. and State Univ. Blacksburg."	y	Y	
Bald Eagle	Accipitridae	2000	Feeding	Main Foods Taken	"Steenhof, K. 1976. The ecology of wintering Bald Eagles in southeastern South Dakota. Master's Thesis. Univ. of Missouri, Columbia."	n		
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Mersmann, T. J., D. A. Buehler, J. D. Fraser, and J. K. D. Seegar. 1992. Techniques used in Bald Eagle food habits studies. J. Wildl. Manage. 56:73-78."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Edwards, C. C. 1969. Winter behavior and population dynamics of American eagles in Utah. Phd Thesis. Brigham Young Univ. Provo, UT."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Main Foods Taken	"Wright, B. S. 1953. The relation of Bald Eagles to breeding ducks in New Brunswick. J. Wildl. Manage. 17:55-62."	y	Y	book-available at Davis Reference for Federal Documents
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Folk, M. J. 1992. Cooperative hunting of avian prey by a pair of Bald Eagles. Fla. Field Nat. 20:110-112."	y	n	book-available at Davis Reference for Federal Documents
Bald Eagle	Accipitridae	2000	Feeding	Main Foods Taken	"Todd, C. S., L. S. Young, R. B. Owen, and F. J. Gramlich. 1982. Food habits of Bald Eagles in Maine. J. Wildl. Manage. 46:636-645."	y	Y	
Bald Eagle	Accipitridae	2000	Food Selection And Storage		"Herrick, F. H. 1933. Daily life of the American eagle: early phase (concluded). Auk 50:34-53."	y	n	
Bald Eagle	Accipitridae	2000			"Ofelt, C. H. 1975. Food habits of nesting Bald Eagles in southeast Alaska. Condor 77:337-338."	y	Y	
Bald Eagle	Accipitridae	2000	Food Selection And Storage		"Jenkins, J. M. and R. E. Jackman. 1994. Field experiments in prey selection by resident Bald Eagles in the breeding and non-breeding season. J. Field Ornithol. 65:441-446."	y	n	
Bald Eagle	Accipitridae	2000			"Mcatee, W. L. 1935. Food habits of common hawks. U.S. Dep. Agric. Circular no. 370, Washington, D.C."	library		
Bald Eagle	Accipitridae	2000			"Imler, R. H. and E. R. Kalmbach. 1955. The Bald Eagle and its economic status. U.S. Fish Wildl. Serv. Circular 30, Washington, D.C."	library		
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Brown, B. T., W. C. Leibfried, T. R. Huels, and J. A. Olivera. 1991. Prey remains from Bald Eagle nests in Sonora, Mexico. Southwest Nat. 36:259-262."	y	Y	
Bald Eagle	Accipitridae	2000			"Herrick, F. H. 1924. Daily life of the American eagle: late phase. Auk 41:389-422, 517-541."	y	n	
Bald Eagle	Accipitridae	2000	Feeding	Food Capture And Consumption	"Marr, N. V., W. D. Edge, R. G. Anthony, and R. Valburg. 1995. Sheep carcass availability and use by Bald Eagles. Wilson Bull. 107:251-257."	y	n	
Bald Eagle	Accipitridae	2000			"May, J. B. 1935. The hawks of North America: Their field identification and feeding habits. Natl. Audubon Soc. New York."	y	n	
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Brown, B. T. 1993. Winter foraging ecology of Bald Eagles in Arizona. Condor 95:132-138."	y	n	
Bald Eagle	Accipitridae	2000	Diet	Major Food Items And Quantitative Analyses	"Grubb, T. G. 1995. Food habits of Bald Eagles breeding in the Arizona desert. Wilson Bull. 107:258-274."	y	Y	
