Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Arachnida	Araneae		Salticidae			Yes	871537	Verified			Jumping Spider	0.004	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Arachnida	Araneae		Thomisidae			Yes	871543	Verified			Crab Spider	0.004	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Arachnida	Araneae					No					Spiders	0.059	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Lygaeidae			Yes	107674	Verified			Seed Bug	0.018	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Miridae			Yes	104419	Verified			Leaf or plant bugs	0.007	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Reduviidae			Yes	107202	Verified			Assassin Bug	0.002	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera	Tingidae			Yes	104177	Verified			Lace Bugs	0.001	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera				No					TrueBugs	0.026	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Auchenorrhyncha	Cicadellidae			Yes	109171	Verified			Leafhoppers	0.394	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Sternorrhyncha	Psyllidae			Yes	109187	Verified			Phyllids	0.084	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Hemiptera	Auchenorrhyncha				No					Leafhoppers	0.009	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Coleoptera	Adephaga	Carabidae			Yes	109234	Verified			Ground Beetles	0.002	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
Lucy's Warblers	Oreothlypis luciae		Parulidae	eBird Clements checklist v2018						Arizona	"Colorado River, Grand Canyon"		4	1994	7	1994	Late Spring/ Early Summer	1	Animalia	Arthropoda	Insecta	Coleoptera	Polyphaga	Chrysomelidae			Yes	114509	Verified			Leaf Beetles	0.011	Items	1142	73	1	Stomach Conents 		RLC	"Yard, H. K. (1996). Quantitative diet analysis of selected breeding birds along the Colorado River in Grand Canyon National Park. Colorado Plateau Research Station, Northern Arizona University."
