Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source	doi	sex	age_class	within_study_data_source	table_fig_number	title	lastname_author	source_year	journal
American Kestrals	Falco sparverius		Falconidae	eBird Clements checklist v2021			NA	NA	NA	Pennsylvania	Southeastern Pennsylvania	agriculture	5	2019	6	2019	Summer	157	Animalia 	Chordata	Aves	Passeriformes															1	behavioral observation		SC	"Cornell, A., Fowler, M. A., Zimmerman, C., Khaku, Z., & Therrien, J. (2023). The role of food quantity and prey type in nestling development of American kestrels. Journal of Raptor Research, 57(2). https://doi.org/10.3356/jrr-22-10"	https://doi.org/10.3356/JRR-22-10		Chick			The Role of Food Quantity and Prey Type in Nestling Development of American Kestrels	Cornell	2023	Journal of Raptor Research
																		157	Animalia	Chordata	Mammalia																1													
																		157	Animalia	Arthropoda 																	1													
																		314	Animalia	Chordata	Mammalia																													
																		630	Animalia 	Chordata	Aves	Passeriformes																												
																		630	Animalia	Arthropoda 																														
																		633	Animalia 	Chordata	Aves	Passeriformes																												
																		633	Animalia	Arthropoda 																														
																		633	Animialia	Annelida																														
																		636	Animalia 	Chordata	Aves	Passeriformes																												
																		636	Animalia	Arthropoda 																														
																		636	Animialia	Annelida																														
																		636	Animalia	Chordata	Mammalia																													
																		639	Animalia 	Chordata	Aves	Passeriformes																												
																		639	Animalia	Arthropoda 																														
																		639	Animialia	Annelida																														
																		639	Animalia	Chordata	Mammalia																													
																		661	Animalia 	Chordata	Aves	Passeriformes																												
																		661	Animalia	Arthropoda 																														
																		661	Animialia	Annelida																														
																		661	Animalia	Chordata	Mammalia																													
																		668	Animalia 	Chordata	Aves	Passeriformes																												
																		668	Animalia	Arthropoda 																														
																		668	Animalia	Chordata	Mammalia																													
																		668																																
																		704	Animalia	Arthropoda 																														
																		704	Animalia	Chordata	Mammalia																													
																		704																																
																		901	Animalia	Arthropoda 																														
																		901	Animialia	Annelida																														
																		901	Animalia	Chordata	Mammalia																													
