"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"	"doi"	"sex"	"age_class"	"within_study_data_source"	"table_fig_number"	"title"	"lastname_author"	"source_year"	"journal"	"X"	"X.1"	"X.2"
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	1	"Animalia"	"Chordata"	"Aves"	"Passeriformes"	NA	"Paridae"	"Parus"	"Parus major"	NA	"561864"	"verified"	NA	NA	"Great Tit"	0.02	"Items"	400	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult;chick"	"Table"	1	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	1	"Animalia"	"Chordata"	"Aves"	"Passeriformes"	NA	"Muscicapidae"	"Phoenicurus"	"Phoenicurus auroreus"	NA	"562029"	"verified"	NA	NA	"Daurian Redstart"	0.01	"Items"	400	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult;chick"	"Table"	1	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	1	"Animalia"	"Chordata"	"Aves"	"Passeriformes"	NA	"Paridae"	"Poecile"	"Poecile palustris"	NA	"562354"	"verified"	NA	NA	"Marsh Tit"	0.005	"Items"	400	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult;chick"	"Table"	1	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	1	"Animalia"	"Chordata"	"Aves"	"Passeriformes"	NA	"Emberizidae"	"Emberiza"	"Emberiza rustica"	NA	"179538"	"verified"	NA	NA	"Rustic Bunting"	0.008	"Items"	400	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult;chick"	"Table"	1	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	1	"Animalia"	"Chordata"	"Amphibia"	"Anura"	NA	"Ranidae"	"Pelophylax"	"Pelophylax nigromaculatus"	NA	"775191"	"verified"	NA	NA	"Black-spotted Frog"	0.018	"Items"	400	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult;chick"	"Table"	1	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	2	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Muridae"	"Apodemus"	"Apodemus agrarius"	NA	"585125"	"verified"	NA	NA	"Striped Field mouse"	0.287	"Items"	317.5	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult"	"Table"	2	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	2	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Muridae"	"Apodemus"	"Apodemus peninsulae"	NA	"585138"	"verified"	NA	NA	"Large Field Mouse"	0.172	"Items"	317.5	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult"	"Table"	2	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	2	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Muridae"	"Mus"	"Mus musculus"	NA	"180366"	"verified"	NA	NA	"House Mouse"	0.027	"Items"	317.5	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult"	"Table"	2	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	2	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Muridae"	"Rattus"	"Rattus norvegicus"	NA	"180363"	"verified"	NA	NA	"Brown rat"	0.018	"Items"	317.5	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult"	"Table"	2	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	2	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Muridae"	"Micromys"	"Micromys minutus"	NA	"585369"	"verified"	NA	NA	"Harvest Mouse"	0.015	"Items"	317.5	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult"	"Table"	2	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
"Common Kestrel"	"Falco tinnunculus"	NA	"Falconaide"	"eBird Clements checklist v2025"	126.65	45.05	200	NA	530	"China"	"Zuojia Natural Reserve"	"forest;grassland"	3	2004	7	2008	"spring;summer"	2	"Animalia"	"Chordata"	"Mammalia"	"Rodentia"	"Myomorpha"	"Cricetidae"	"Microtus"	"Microtus fortis"	NA	"632863"	"verified"	NA	NA	"Reed Vole"	0.246	"Items"	317.5	NA	41	"behavioral observation;prey remains"	NA	"AP"	"Geng, R. 2009. Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China. Progress in Natural Science 19(11):1501-1507"	"https://doi.org/10.1016/j.pnsc.2009.03.011"	NA	"adult"	"Table"	2	"Diet and prey consumption of breeding Common Kestrel (Falco tinnunculus) in Northeast China"	"Geng"	2008	"Progress in Natural Science"	NA	NA	""
