Order	CommonName	SciName	Status
1	Black-bellied Whistling-Duck	Dendrocygna autumnalis	
2	West Indian Whistling-Duck	Dendrocygna arborea	Introduced species Vulnerable
3	Fulvous Whistling-Duck	Dendrocygna bicolor	
4	Taiga Bean-Goose	Anser fabalis	Rare/Accidental
5	Tundra Bean-Goose	Anser serrirostris	Rare/Accidental
6	Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
7	Greater White-fronted Goose	Anser albifrons	
8	Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
9	Graylag Goose	Anser anser	Rare/Accidental
10	Bar-headed Goose	Anser indicus	Rare/Accidental
11	Emperor Goose	Chen canagica	Near-threatened
12	Snow Goose	Chen caerulescens	
13	Ross's Goose	Chen rossii	
14	Brant	Branta bernicla	
15	Barnacle Goose	Branta leucopsis	
16	Cackling Goose	Branta hutchinsii	Breeding endemic
17	Canada Goose	Branta canadensis	
18	Hawaiian Goose	Branta sandvicensis	Vulnerable
19	Mute Swan	Cygnus olor	Introduced species
20	Trumpeter Swan	Cygnus buccinator	
21	Tundra Swan	Cygnus columbianus	
22	Whooper Swan	Cygnus cygnus	
23	Orinoco Goose	Oressochen jubatus	Introduced species Near-threatened
24	Muscovy Duck	Cairina moschata	
25	Wood Duck	Aix sponsa	
26	Gadwall	Anas strepera	
27	Falcated Duck	Anas falcata	Near-threatened
28	Eurasian Wigeon	Anas penelope	
29	American Wigeon	Anas americana	
30	American Black Duck	Anas rubripes	
31	Mallard	Anas platyrhynchos	
32	Mottled Duck	Anas fulvigula	
33	Hawaiian Duck	Anas wyvilliana	Endangered
34	Laysan Duck	Anas laysanensis	Critically endangered
35	Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
36	Blue-winged Teal	Anas discors	
37	Cinnamon Teal	Anas cyanoptera	
38	Northern Shoveler	Anas clypeata	
39	White-cheeked Pintail	Anas bahamensis	
40	Northern Pintail	Anas acuta	
41	Garganey	Anas querquedula	
42	Baikal Teal	Anas formosa	
43	Green-winged Teal	Anas crecca	
44	Canvasback	Aythya valisineria	
45	Redhead	Aythya americana	
46	Common Pochard	Aythya ferina	Vulnerable
47	Ring-necked Duck	Aythya collaris	
48	Tufted Duck	Aythya fuligula	
49	Greater Scaup	Aythya marila	
50	Lesser Scaup	Aythya affinis	
51	Steller's Eider	Polysticta stelleri	Vulnerable
52	Spectacled Eider	Somateria fischeri	
53	King Eider	Somateria spectabilis	
54	Common Eider	Somateria mollissima	Near-threatened
55	Harlequin Duck	Histrionicus histrionicus	
56	Labrador Duck	Camptorhynchus labradorius	Extinct
57	Surf Scoter	Melanitta perspicillata	
58	White-winged Scoter	Melanitta fusca	
59	Common Scoter	Melanitta nigra	Rare/Accidental
60	Black Scoter	Melanitta americana	Near-threatened
61	Long-tailed Duck	Clangula hyemalis	Vulnerable
62	Bufflehead	Bucephala albeola	
63	Common Goldeneye	Bucephala clangula	
64	Barrow's Goldeneye	Bucephala islandica	
65	Smew	Mergellus albellus	
66	Hooded Merganser	Lophodytes cucullatus	
67	Common Merganser	Mergus merganser	
68	Red-breasted Merganser	Mergus serrator	
69	Masked Duck	Nomonyx dominicus	
70	Ruddy Duck	Oxyura jamaicensis	
71	Plain Chachalaca	Ortalis vetula	
72	Helmeted Guineafowl	Numida meleagris	Introduced species
73	Mountain Quail	Oreortyx pictus	
74	Scaled Quail	Callipepla squamata	
75	California Quail	Callipepla californica	
76	Gambel's Quail	Callipepla gambelii	
77	Northern Bobwhite	Colinus virginianus	Near-threatened
78	Montezuma Quail	Cyrtonyx montezumae	
79	Indian Peafowl	Pavo cristatus	Introduced species
80	Chukar	Alectoris chukar	Introduced species
81	Himalayan Snowcock	Tetraogallus himalayensis	Introduced species
82	Erckel's Francolin	Pternistis erckelii	Introduced species
83	Black Francolin	Francolinus francolinus	Introduced species
84	Gray Francolin	Francolinus pondicerianus	Introduced species
85	Chinese Bamboo-Partridge	Bambusicola thoracicus	Introduced species (non established)
86	Elliot's Pheasant	Syrmaticus ellioti	Introduced species Near-threatened
87	Lady Amherst's Pheasant	Chrysolophus amherstiae	Introduced species
88	Ring-necked Pheasant	Phasianus colchicus	Introduced species
89	Silver Pheasant	Lophura nycthemera	Introduced species (non established)
90	Kalij Pheasant	Lophura leucomelanos	Introduced species
91	Gray Partridge	Perdix perdix	Introduced species
92	Ruffed Grouse	Bonasa umbellus	
93	Greater Sage-Grouse	Centrocercus urophasianus	Near-threatened
94	Gunnison Sage-Grouse	Centrocercus minimus	Endangered
95	Spruce Grouse	Falcipennis canadensis	
96	Willow Ptarmigan	Lagopus lagopus	
97	Rock Ptarmigan	Lagopus muta	
98	White-tailed Ptarmigan	Lagopus leucura	
99	Dusky Grouse	Dendragapus obscurus	
100	Sooty Grouse	Dendragapus fuliginosus	
101	Sharp-tailed Grouse	Tympanuchus phasianellus	
102	Greater Prairie-Chicken	Tympanuchus cupido	Vulnerable
103	Lesser Prairie-Chicken	Tympanuchus pallidicinctus	Vulnerable
104	Wild Turkey	Meleagris gallopavo	
105	Red-throated Loon	Gavia stellata	
106	Arctic Loon	Gavia arctica	
107	Pacific Loon	Gavia pacifica	
108	Common Loon	Gavia immer	
109	Yellow-billed Loon	Gavia adamsii	Near-threatened
110	Least Grebe	Tachybaptus dominicus	
