TAXON_ORDER	CATEGORY	SPECIES_CODE	SCI_NAME	PRIMARY_COM_NAME	ORDER1	FAMILY	SPECIES_GROUP	REPORT_AS
1	species	ostric1	Struthio camelus	Ostrich	Struthioniformes	Struthionidae (Ostrich)	Ostrich	
3	issf	ostric2	Struthio camelus [camelus Group]	Ostrich (Common)	Struthioniformes	Struthionidae (Ostrich)		ostric1
5	issf	ostric3	Struthio camelus molybdophanes	Ostrich (Somali)	Struthioniformes	Struthionidae (Ostrich)		ostric1
7	species	grerhe1	Rhea americana	Greater Rhea	Rheiformes	Rheidae (Rheas)	Rheas	
13	species	lesrhe2	Rhea pennata	Lesser Rhea	Rheiformes	Rheidae (Rheas)		
14	issf	lesrhe4	Rhea pennata tarapacensis/garleppi	Lesser Rhea (Puna)	Rheiformes	Rheidae (Rheas)		lesrhe2
17	issf	lesrhe3	Rhea pennata pennata	Lesser Rhea (Darwin's)	Rheiformes	Rheidae (Rheas)		lesrhe2
32	species	tabtin1	Nothocercus julius	Tawny-breasted Tinamou	Tinamiformes	Tinamidae (Tinamous)	Tinamous	
33	species	higtin1	Nothocercus bonapartei	Highland Tinamou	Tinamiformes	Tinamidae (Tinamous)		
34	issf	higtin2	Nothocercus bonapartei [bonapartei Group]	Highland Tinamou (South American)	Tinamiformes	Tinamidae (Tinamous)		higtin1
39	issf	higtin3	Nothocercus bonapartei frantzii	Highland Tinamou (Costa Rican)	Tinamiformes	Tinamidae (Tinamous)		higtin1
40	species	hootin1	Nothocercus nigrocapillus	Hooded Tinamou	Tinamiformes	Tinamidae (Tinamous)		
43	species	grytin1	Tinamus tao	Gray Tinamou	Tinamiformes	Tinamidae (Tinamous)		
48	species	soltin1	Tinamus solitarius	Solitary Tinamou	Tinamiformes	Tinamidae (Tinamous)		
49	species	blatin1	Tinamus osgoodi	Black Tinamou	Tinamiformes	Tinamidae (Tinamous)		
52	species	gretin1	Tinamus major	Great Tinamou	Tinamiformes	Tinamidae (Tinamous)		
65	species	whttin1	Tinamus guttatus	White-throated Tinamou	Tinamiformes	Tinamidae (Tinamous)		
66	spuh	tinamu1	Tinamus sp.	Tinamus sp.	Tinamiformes	Tinamidae (Tinamous)		
67	species	cintin1	Crypturellus cinereus	Cinereous Tinamou	Tinamiformes	Tinamidae (Tinamous)		
68	species	bertin1	Crypturellus berlepschi	Berlepsch's Tinamou	Tinamiformes	Tinamidae (Tinamous)		
69	species	littin1	Crypturellus soui	Little Tinamou	Tinamiformes	Tinamidae (Tinamous)		
84	species	teptin1	Crypturellus ptaritepui	Tepui Tinamou	Tinamiformes	Tinamidae (Tinamous)		
85	species	brotin1	Crypturellus obsoletus	Brown Tinamou	Tinamiformes	Tinamidae (Tinamous)		
95	species	undtin1	Crypturellus undulatus	Undulated Tinamou	Tinamiformes	Tinamidae (Tinamous)		
102	species	pabtin1	Crypturellus transfasciatus	Pale-browed Tinamou	Tinamiformes	Tinamidae (Tinamous)		
103	species	bratin1	Crypturellus strigulosus	Brazilian Tinamou	Tinamiformes	Tinamidae (Tinamous)		
104	species	gyltin1	Crypturellus duidae	Gray-legged Tinamou	Tinamiformes	Tinamidae (Tinamous)		
105	species	reltin1	Crypturellus erythropus	Red-legged Tinamou	Tinamiformes	Tinamidae (Tinamous)		
113	species	yeltin1	Crypturellus noctivagus	Yellow-legged Tinamou	Tinamiformes	Tinamidae (Tinamous)		
